Taxa,Mother,Father
E2325,PC_L48_ID2,PC_L06_ID2
E2327,PC_J07_ID2,PC_J07_ID2
E2328,PC_M58_ID1,PC_N58_ID1
E2329,PC_N03_ID2,PC_N03_ID2
E2330,PC_N58_ID2,PC_I11_ID2
E2331,PC_J48_ID2,PC_J48_ID2
E2332,PC_J50_ID1,PC_J50_ID1
E2334,PC_N07_ID1,PC_L56_ID1
E2338,PC_J50_ID1,PC_J07_ID1
E2339,PC_N57_ID2,PC_N57_ID2
E2342,PC_O59_ID1,PC_I50_ID1
E2343,PC_I11_ID2,PC_I11_ID2
E2344,PC_J48_ID2,PC_J48_ID2
E2346,PC_I58_ID1,PC_J04_ID1
E2347,PC_I05_ID1,PC_L12_ID1
E2348,PC_K60_ID1,PC_L12_ID1
E2349,PC_J12_ID1,PC_M59_ID1
E2350,PC_N14_ID2,PC_N14_ID2
E2351,PC_I05_ID1,PC_I05_ID1
E2352,PC_N04_ID1,PC_J04_ID1
E2353,PC_L48_ID2,PC_I55_ID2
E2354,PC_O51_ID2,PC_O51_ID2
E2355,PC_I50_ID1,PC_I06_ID1
E2356,PC_N04_ID1,PC_N09_ID1
E2357,PC_N14_ID2,PC_N14_ID2
E2358,PC_K55_ID2,PC_I11_ID2
E2360,PC_L14_ID1,PC_I53_ID1
E2363,PC_N58_ID2,PC_N58_ID2
E2365,PC_L14_ID1,PC_L14_ID1
E2368,PC_I58_ID1,PC_I58_ID1
E2369,PC_I55_ID2,PC_I55_ID2
E2370,PC_N07_ID1,PC_N13_ID1
E2371,PC_O08_ID2,PC_J07_ID2
E2372,PC_I05_ID1,PC_L12_ID1
E2373,PC_M15_ID1,PC_I06_ID1
E2374,PC_J04_ID1,PC_L56_ID1
E2378,PC_K60_ID1,PC_I06_ID1
E2380,PC_I50_ID1,PC_I06_ID1
E2384,PC_N58_ID2,PC_O08_ID2
E2387,PC_I06_ID1,PC_I06_ID1
E2389,PC_J51_ID1,PC_J51_ID1
E2390,PC_L08_ID1,PC_I06_ID1
E2395,PC_J51_ID1,PC_K60_ID1
E2396,PC_K55_ID2,PC_O59_ID2
E2398,PC_K54_ID1,PC_M58_ID1
E2399,PC_K54_ID1,PC_K60_ID1
E2403,PC_L12_ID1,PC_L12_ID1
E2404,PC_L14_ID1,PC_J13_ID1
E2405,PC_L08_ID1,PC_L08_ID1
E2407,PC_K02_ID1,PC_J07_ID1
E2412,PC_K02_ID1,PC_O10_ID1
E2413,PC_M58_ID1,PC_N13_ID1
E2416,PC_K02_ID1,PC_O10_ID1
E2417,PC_I11_ID2,PC_K55_ID2
E2418,PC_K02_ID1,PC_J04_ID1
E2419,PC_L14_ID1,PC_J50_ID1
E2420,PC_N14_ID2,PC_L12_ID2
E2421,PC_L12_ID1,PC_L12_ID1
E2422,PC_N07_ID2,PC_O08_ID2
E2423,PC_K54_ID1,PC_J51_ID1
E2424,PC_L08_ID1,PC_L56_ID1
E2425,PC_J13_ID1,PC_J13_ID1
E2427,PC_O59_ID2,PC_O59_ID2
E2430,PC_K55_ID2,PC_N57_ID2
E2431,PC_K60_ID1,PC_N13_ID1
E2433,PC_O59_ID2,PC_K55_ID2
E2436,PC_L12_ID2,PC_N57_ID2
E2439,PC_N14_ID2,PC_N14_ID2
E2440,PC_N07_ID2,PC_N07_ID2
E2441,PC_K54_ID1,PC_N09_ID1
E2443,PC_K02_ID1,PC_N58_ID1
E2447,PC_I11_ID2,PC_I11_ID2
E2448,PC_M58_ID1,PC_N04_ID1
E2449,PC_K02_ID1,PC_K02_ID1
E2450,PC_K55_ID2,PC_O59_ID2
E2451,PC_I11_ID2,PC_K55_ID2
E2454,PC_L12_ID1,PC_L12_ID1
E2458,PC_L08_ID1,PC_J08_ID1
E2460,PC_L12_ID1,PC_I50_ID1
E2463,PC_O59_ID2,PC_N10_ID2
E2464,PC_K02_ID1,PC_K02_ID1
E2467,PC_I11_ID2,PC_I11_ID2
E2470,PC_O51_ID2,PC_O08_ID2
E2471,PC_M15_ID1,PC_N04_ID1
E2473,PC_N13_ID1,PC_N13_ID1
E2474,PC_I55_ID2,PC_L06_ID2
E2475,PC_N09_ID1,PC_N07_ID1
E2480,PC_I05_ID1,PC_L12_ID1
E2481,PC_J12_ID1,PC_L08_ID1
E2483,PC_O08_ID2,PC_I11_ID2
E2484,PC_L12_ID1,PC_L12_ID1
E2487,PC_N07_ID2,PC_N07_ID2
E2488,PC_L06_ID2,PC_L06_ID2
E2489,PC_O59_ID1,PC_M05_ID1
E2490,PC_I52_ID1,PC_O59_ID1
E2491,PC_N58_ID2,PC_N58_ID2
E2492,PC_O59_ID2,PC_O59_ID2
E2493,PC_K60_ID1,PC_L12_ID1
E2498,PC_L56_ID1,PC_L56_ID1
E2499,PC_O59_ID1,PC_J50_ID1
E2504,PC_J04_ID1,PC_N13_ID1
E2505,PC_N48_ID1,PC_I58_ID1
E2507,PC_L48_ID2,PC_N58_ID2
E2509,PC_J50_ID1,PC_J07_ID1
E2510,PC_N48_ID1,PC_N07_ID1
E2511,PC_N11_ID1,PC_N11_ID1
E2512,PC_M15_ID1,PC_I06_ID1
E2513,PC_J07_ID2,PC_N57_ID2
E2514,PC_I58_ID1,PC_I52_ID1
E2517,PC_O08_ID2,PC_N58_ID2
E2519,PC_J50_ID1,PC_J50_ID1
E2523,PC_N13_ID1,PC_N07_ID1
E2524,PC_J04_ID1,PC_J04_ID1
E2527,PC_L48_ID2,PC_L06_ID2
E2531,PC_I58_ID1,PC_I52_ID1
E2533,PC_K54_ID1,PC_K60_ID1
E2534,PC_J50_ID1,PC_J50_ID1
E2536,PC_M58_ID1,PC_N09_ID1
E2543,PC_L56_ID1,PC_L56_ID1
E2551,PC_N58_ID2,PC_I11_ID2
E2552,PC_I50_ID2,PC_I50_ID2
E2558,PC_O59_ID1,PC_M05_ID1
E2560,PC_N03_ID2,PC_I50_ID2
E2564,PC_N07_ID2,PC_N07_ID2
E2565,PC_I08_ID1,PC_L10_ID1
E2566,PC_L48_ID2,PC_I55_ID2
E2569,PC_N13_ID1,PC_N07_ID1
E2573,PC_I11_ID2,PC_N58_ID2
E2580,PC_J13_ID1,PC_N07_ID1
E2590,PC_J48_ID2,PC_J48_ID2
E2595,PC_K54_ID1,PC_N56_ID1
E2599,PC_I58_ID2,PC_L06_ID2
E2600,PC_J07_ID2,PC_N57_ID2
E2601,PC_J10_ID1,PC_J08_ID1
E2602,PC_K54_ID1,PC_N04_ID1
E2606,PC_K54_ID1,PC_J04_ID1
E2608,PC_N07_ID1,PC_N13_ID1
E2610,PC_N09_ID1,PC_J04_ID1
E2611,PC_K02_ID1,PC_I06_ID1
E2613,PC_J04_ID1,PC_J04_ID1
E2616,PC_J12_ID1,PC_J04_ID1
E2617,PC_I05_ID1,PC_L12_ID1
E2622,PC_J07_ID2,PC_J07_ID2
E2623,PC_O51_ID2,PC_O51_ID2
E2625,PC_L12_ID1,PC_L12_ID1
E2627,PC_I05_ID1,PC_L12_ID1
E2628,PC_N03_ID2,PC_N03_ID2
E2629,PC_I08_ID1,PC_J07_ID1
E2630,PC_J12_ID1,PC_L56_ID1
E2632,PC_I58_ID2,PC_N14_ID2
E2634,PC_I08_ID1,PC_M05_ID1
E2635,PC_N10_ID2,PC_N10_ID2
E2637,PC_L14_ID1,PC_L14_ID1
E2640,PC_L12_ID2,PC_L12_ID2
E2645,PC_N58_ID2,PC_K55_ID2
E2647,PC_J13_ID1,PC_J13_ID1
E2648,PC_L48_ID2,PC_L48_ID2
E2649,PC_N58_ID2,PC_N57_ID2
E2653,PC_L08_ID1,PC_J14_ID1
E2656,PC_J13_ID1,PC_J13_ID1
E2661,PC_N04_ID1,PC_N04_ID1
E2664,PC_K02_ID1,PC_K02_ID1
E2665,PC_L06_ID2,PC_I55_ID2
E2666,PC_I05_ID1,PC_I06_ID1
E2670,PC_L08_ID1,PC_J10_ID1
E2673,PC_I50_ID2,PC_N07_ID2
E2674,PC_J48_ID2,PC_J48_ID2
E2677,PC_J50_ID1,PC_J50_ID1
E2678,PC_L06_ID2,PC_L06_ID2
E2684,PC_N14_ID2,PC_N14_ID2
E2685,PC_L48_ID2,PC_K55_ID2
E2686,PC_N04_ID1,PC_N04_ID1
E2691,PC_O08_ID2,PC_O08_ID2
