Taxa,Mother,Father
A0003:250415708,PC_N14_ID2,PC_N14_ID2
A0004:250415709,PC_J48_ID2,PC_J48_ID2
A0008:250415711,PC_J13_ID1,PC_K60_ID1
A0013:250415712,PC_N10_ID2,PC_N10_ID2
A0014:250415713,PC_K60_ID1,PC_K60_ID1
A0015:250415714,PC_J10_ID1,PC_M15_ID1
A0017:250415715,PC_L56_ID1,PC_N58_ID1
A0020:250415716,PC_M59_ID1,PC_L56_ID1
A0021:250415717,PC_I08_ID1,PC_I08_ID1
A0022:250415719,PC_N07_ID2,PC_O08_ID2
A0024:250415720,PC_N07_ID2,PC_N07_ID2
A0027:250415721,PC_J50_ID1,PC_L10_ID1
A0028:250415722,PC_J13_ID1,PC_N58_ID1
A0030:250415723,PC_N58_ID2,PC_N58_ID2
A0031:250415724,PC_O59_ID2,PC_O59_ID2
A0034:250415725,PC_K02_ID1,PC_L12_ID1
A0035:250415726,PC_N10_ID2,PC_J14_ID2
A0036:250415727,PC_K55_ID2,PC_O59_ID2
A0038:250415728,PC_N04_ID1,PC_I06_ID1
A0039:250415729,PC_L12_ID1,PC_J08_ID1
A0042:250415730,PC_N03_ID2,PC_I50_ID2
A0044:250415731,PC_N10_ID2,PC_O59_ID2
A0045:250415732,PC_I08_ID1,PC_I08_ID1
A0048:250415733,PC_K54_ID1,PC_J51_ID1
A0049:250415734,PC_O59_ID2,PC_O59_ID2
A0051:250415735,PC_M05_ID1,PC_M05_ID1
A0052:250415736,PC_I55_ID2,PC_I55_ID2
A0060:250441870,PC_N10_ID2,PC_N10_ID2
A0061:250415737,PC_J12_ID1,PC_L08_ID1
A0064:250415738,PC_J48_ID2,PC_I50_ID2
A0066:250415739,PC_N13_ID1,PC_L56_ID1
A0072:250415740,PC_L08_ID1,PC_N07_ID1
A0073:250415741,PC_M05_ID1,PC_M05_ID1
A0078:250415742,PC_I58_ID2,PC_I55_ID2
A0081:250415743,PC_I50_ID2,PC_N07_ID2
A0082:250415744,PC_I58_ID2,PC_I58_ID2
A0084:250415745,PC_J12_ID1,PC_M59_ID1
A0085:250415746,PC_M15_ID1,PC_I06_ID1
A0086:250441871,PC_N10_ID2,PC_N10_ID2
A0089:250415747,PC_J50_ID1,PC_J50_ID1
A0090:250415748,PC_I52_ID1,PC_I52_ID1
A0091:250415749,PC_O59_ID2,PC_O59_ID2
A0092:250415750,PC_K54_ID1,PC_N04_ID1
A0094:250415751,PC_L08_ID1,PC_L56_ID1
A0095:250415752,PC_K02_ID1,PC_K02_ID1
A0100:250415753,PC_K55_ID2,PC_K55_ID2
A0101:250415754,PC_N03_ID2,PC_I50_ID2
A0102:250415755,PC_L48_ID2,PC_L48_ID2
A0103:250415756,PC_I11_ID2,PC_K55_ID2
A0107:250415757,PC_I52_ID1,PC_I08_ID1
A0112:250415758,PC_M59_ID1,PC_L56_ID1
A0113:250415759,PC_L14_ID1,PC_M05_ID1
A0114:250415760,PC_N57_ID2,PC_N57_ID2
A0115:250415761,PC_I11_ID2,PC_K55_ID2
A0116:250415762,PC_L48_ID2,PC_L06_ID2
A0118:250415763,PC_M05_ID1,PC_M05_ID1
A0119:250415764,PC_L14_ID1,PC_N09_ID1
A0121:250415765,PC_I52_ID1,PC_M05_ID1
A0123:250415766,PC_M59_ID1,PC_M59_ID1
A0126:250415767,PC_N57_ID2,PC_L12_ID2
A0127:250415768,PC_M58_ID1,PC_N09_ID1
A0128:250415769,PC_I55_ID2,PC_I55_ID2
A0129:250415770,PC_N58_ID2,PC_N58_ID2
A0131:250415771,PC_K54_ID1,PC_K60_ID1
A0132:250415772,PC_I58_ID1,PC_I58_ID1
A0134:250415773,PC_J13_ID1,PC_L12_ID1
A0135:250415774,PC_N11_ID1,PC_K02_ID1
A0137:250415775,PC_J07_ID2,PC_N57_ID2
A0139:250415776,PC_J12_ID1,PC_L08_ID1
A0140:250415777,PC_N13_ID1,PC_L56_ID1
A0142:250415778,PC_J50_ID1,PC_M05_ID1
A0143:250415779,PC_I11_ID2,PC_O08_ID2
A0144:250441872,PC_N10_ID2,PC_N10_ID2
A0146:250415780,PC_N04_ID1,PC_N04_ID1
A0148:250415781,PC_N14_ID2,PC_I55_ID2
A0149:250415782,PC_K60_ID1,PC_K60_ID1
A0150:250415783,PC_J50_ID1,PC_J50_ID1
A0151:250415784,PC_J13_ID1,PC_J13_ID1
A0152:250415785,PC_I55_ID2,PC_I58_ID2
A0154:250415786,PC_N07_ID2,PC_O08_ID2
A0156:250415787,PC_N10_ID2,PC_N10_ID2
A0171:250415788,PC_I55_ID2,PC_I55_ID2
A0172:250415789,PC_J04_ID1,PC_N04_ID1
A0173:250415790,PC_L06_ID2,PC_I55_ID2
A0176:250415791,PC_I58_ID2,PC_N14_ID2
A0178:250415792,PC_I58_ID2,PC_I58_ID2
A0179:250415793,PC_I50_ID1,PC_I06_ID1
A0180:250415794,PC_J04_ID1,PC_J04_ID1
A0182:250415795,PC_I11_ID2,PC_K55_ID2
A0183:250415796,PC_I58_ID2,PC_N14_ID2
A0184:250415797,PC_O08_ID2,PC_J07_ID2
A0186:250415798,PC_O08_ID2,PC_I11_ID2
A0189:250415799,PC_I58_ID1,PC_L48_ID1
A0190:250415800,PC_N14_ID2,PC_N14_ID2
A0191:250415801,PC_J07_ID2,PC_J07_ID2
A0193:250415802,PC_N07_ID1,PC_N13_ID1
A0194:250415803,PC_N04_ID1,PC_J04_ID1
A0195:250415835,PC_N13_ID1,PC_N13_ID1
A0196:250415836,PC_N48_ID1,PC_N48_ID1
A0197:250415837,PC_O08_ID2,PC_O08_ID2
A0198:250415838,PC_L08_ID1,PC_L08_ID1
A0199:250415839,PC_N07_ID1,PC_N07_ID1
A0201:250415840,PC_I52_ID1,PC_J50_ID1
A0204:250415841,PC_M58_ID1,PC_N58_ID1
A0205:250415842,PC_L12_ID1,PC_I52_ID1
A0206:250415843,PC_I58_ID1,PC_N48_ID1
A0207:250415844,PC_I50_ID1,PC_I06_ID1
A0209:250415846,PC_J12_ID1,PC_L08_ID1
A0210:250415847,PC_N48_ID1,PC_N48_ID1
A0211:250415848,PC_N14_ID2,PC_N14_ID2
A0212:250415849,PC_I50_ID2,PC_I50_ID2
A0213:250415850,PC_I11_ID2,PC_K55_ID2
A0214:250415851,PC_I58_ID2,PC_L06_ID2
A0215:250415852,PC_I06_ID1,PC_I06_ID1
A0216:250415854,PC_N04_ID1,PC_J04_ID1
A0219:250415855,PC_M58_ID1,PC_J04_ID1
A0220:250415856,PC_I58_ID2,PC_J07_ID2
A0221:250415857,PC_I06_ID1,PC_I06_ID1
A0222:250415858,PC_I58_ID2,PC_I55_ID2
A0227:250415859,PC_I58_ID1,PC_N07_ID1
A0231:250415860,PC_O08_ID2,PC_N57_ID2
A0235:250415861,PC_M58_ID1,PC_N04_ID1
A0240:250415862,PC_I50_ID1,PC_M15_ID1
A0245:250441873,PC_O51_ID2,PC_O51_ID2
A0251:250415863,PC_M59_ID1,PC_I58_ID1
A0252:250415864,PC_I11_ID2,PC_I11_ID2
A0258:250415865,PC_J12_ID1,PC_M59_ID1
A0263:250415866,PC_L12_ID2,PC_K55_ID2
A0264:250415867,PC_L12_ID1,PC_I06_ID1
A0265:250415868,PC_O59_ID2,PC_O59_ID2
A0266:250441874,PC_M58_ID1,PC_M58_ID1
A0267:250415869,PC_L08_ID1,PC_N13_ID1
A0269:250415870,PC_N04_ID1,PC_N07_ID1
A0273:250415871,PC_J04_ID1,PC_J04_ID1
A0275:250415872,PC_L14_ID1,PC_L14_ID1
A0276:250415873,PC_N11_ID1,PC_K02_ID1
A0279:250415874,PC_M15_ID1,PC_I06_ID1
A0280:250415875,PC_I58_ID1,PC_L48_ID1
A0284:250415876,PC_J51_ID1,PC_J51_ID1
A0286:250415877,PC_N03_ID2,PC_N03_ID2
A0287:250415878,PC_I11_ID2,PC_I11_ID2
A0290:250415879,PC_I08_ID1,PC_I08_ID1
A0291:250415880,PC_J50_ID1,PC_M05_ID1
A0297:250415881,PC_J13_ID1,PC_J13_ID1
A0300:250415882,PC_I55_ID2,PC_I55_ID2
A0301:250415883,NA,NA
