proid	parent1	parent2	progeny	parent_1	parent_2	qq_uu	which_mother	nloci
A4498:250417618	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2300	2	2	1463.07898783098	1	9015
A3549:250413324	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1939	2	2	1523.78621750464	1	9112
A0405:250441878	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	205	2	2	1479.78167040632	1	9091
A3499:250413295	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1910	2	2	1443.03094671606	1	9092
E0709:250277865	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	3563	2	2	1469.52834827726	1	9122
A1364:250416652	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	731	2	2	1501.67148996959	1	9055
E2552:250283687	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	4499	2	2	1507.75373144004	1	9116
A2943:250412842	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1579	2	2	1499.4000221128	1	9086
E2938:250272781	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	4669	2	2	1516.96839405602	1	9064
A2255:250417192	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1147	2	2	1510.79025866294	1	8979
B3317:250273051	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	3018	2	2	1480.85833456549	1	9108
A4100:250417392	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2132	2	2	1542.98210586214	1	9088
A1726:250416819	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	866	2	2	1465.70620624203	1	8916
E0235:250277690	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	3325	2	2	1482.13838056418	1	9085
A3709:250417245	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2018	2	2	1467.64818405284	1	8910
A2444:250412496	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	1250	2	2	1473.17102108536	1	9115
A3793:250441928	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	2067	2	2	1508.9016065133	1	9052
A1986:250441890	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	984	2	2	1468.35949248954	1	9085
A0975:250416377	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	520	2	2	1516.58888952079	1	9054
E2747:250284463	PC_I50_ID2_mrg:250276265	PC_I50_ID2_mrg:250276265	4559	2	2	1431.0882850391	1	9046
