file,err1,err2,size
largedata/sim1//res_10_1.csv,0.3923,0.2805,10
largedata/sim1//res_10_5719360.csv,0.395,0.265,10
largedata/sim1//res_10_5719361.csv,0.445,0.329,10
largedata/sim1//res_10_5719362.csv,0.403,0.284,10
largedata/sim1//res_10_5719363.csv,0.401,0.289,10
largedata/sim1//res_10_5719364.csv,0.413,0.306,10
largedata/sim1//res_10_5719365.csv,0.417,0.311,10
largedata/sim1//res_10_5719366.csv,0.399,0.304,10
largedata/sim1//res_10_5719367.csv,0.48,0.356,10
largedata/sim1//res_10_5719368.csv,0.416,0.306,10
largedata/sim1//res_10_5719369.csv,0.404,0.287,10
largedata/sim1//res_10_NA.csv,0.539284768258237,0.396327939707015,10
largedata/sim1//res_100_1.csv,0,0,100
largedata/sim1//res_11_1.csv,0.5071,0.3634,11
largedata/sim1//res_12_1.csv,0.3283,0.2235,12
largedata/sim1//res_13_1.csv,0.2529,0.1675,13
largedata/sim1//res_14_1.csv,0.2245,0.1506,14
largedata/sim1//res_15_1.csv,0.1812,0.1186,15
largedata/sim1//res_16_1.csv,0.1823,0.1254,16
largedata/sim1//res_17_1.csv,0.1685,0.1087,17
largedata/sim1//res_18_1.csv,0.1312,0.0844,18
largedata/sim1//res_19_1.csv,0.1148,0.0737,19
largedata/sim1//res_20_1.csv,0.1181,0.0742,20
largedata/sim1//res_20_NA.csv,0.0889925397925521,0.059727993017464,20
largedata/sim1//res_21_1.csv,0.0716,0.0501,21
largedata/sim1//res_22_1.csv,0.0814,0.0571,22
largedata/sim1//res_23_1.csv,0.0754,0.0504,23
largedata/sim1//res_24_1.csv,0.0509,0.0343,24
largedata/sim1//res_25_1.csv,0.0543,0.0368,25
largedata/sim1//res_26_1.csv,0.0484,0.0309,26
largedata/sim1//res_27_1.csv,0.0318,0.0206,27
largedata/sim1//res_28_1.csv,0.0399,0.0252,28
largedata/sim1//res_29_1.csv,0.0331,0.0207,29
largedata/sim1//res_30_1.csv,0.036,0.0209,30
largedata/sim1//res_30_NA.csv,0.02031417117163,0.0130892528430381,30
