pid,tot,miss,toter,er01,er02,er10,er12,er20,er21,er0,er1,er2
A3457:250413241,12564,3436,0.0674944285259472,0.041661910740783,0.00194041776052962,0.0770491803278689,0.0140983606557377,0.0305444887118194,0.219123505976096,0.0436023285013126,0.0911475409836066,0.249667994687915
A3459:250413242,11671,3149,0.0574072487361837,0.0373739857388739,0.00049176297024834,0.060851213506859,0.0154766092156173,0.0302593659942363,0.178674351585014,0.0378657487091222,0.0763278227224763,0.208933717579251
A3460:250413244,12689,3311,0.0833793049097644,0.0467111534795043,0.0024361826077746,0.135330005546312,0.0310593455352191,0.0429065743944637,0.160553633217993,0.0491473360872789,0.166389351081531,0.203460207612457
A3461:250413245,14907,1093,0.0230764070570873,0.0149047750483025,9.20047842487809e-05,0.0231629392971246,0.00638977635782748,0.00260756192959583,0.0671447196870926,0.0149967798325513,0.0295527156549521,0.0697522816166884
A3462:250413246,13823,2177,0.0356651956883455,0.0240609137055838,0.000304568527918782,0.0271293375394322,0.00788643533123028,0.0037359900373599,0.173100871731009,0.0243654822335025,0.0350157728706625,0.176836861768369
A3464:250413247,13414,2586,0.150216192038169,0.0911255411255411,0.00357142857142857,0.180496668685645,0.0408843125378558,0.0779816513761468,0.39105504587156,0.0946969696969697,0.221380981223501,0.469036697247706
A3466:250413248,14804,1196,0.0117535801134828,0.00755844612409914,8.78889084197574e-05,0.00948166877370417,0.00126422250316056,0.0027114967462039,0.0352494577006508,0.0076463350325189,0.0107458912768647,0.0379609544468547
A3470:250413249,8943,2158,0.0469641060046964,0.0267014001953761,0.000488440247476392,0.0546014971378247,0.0101276970497578,0.0283018867924528,0.171698113207547,0.0271898404428525,0.0647291941875826,0.2
A3472:250413250,15400,600,0.00779220779220779,0.00547783583347379,8.42743974380583e-05,0.00512445095168375,0.00292825768667643,0,0.0198339483394834,0.00556211023091185,0.00805270863836018,0.0198339483394834
A3473:250413251,14710,1290,0.0146838885112169,0.00935817074247374,8.82846296459786e-05,0.0174383644016837,0.00601322910402886,0.00174418604651163,0.038953488372093,0.00944645537211971,0.0234515935057126,0.0406976744186047
A3476:250413252,12700,3300,0.0540944881889764,0.0349905879747536,0.00177167534049385,0.0563674321503132,0.0139178844815588,0.0238993710691824,0.168553459119497,0.0367622633152475,0.070285316631872,0.192452830188679
A3477:250413253,12916,2454,0.0329823474759988,0.0202108963093146,0.000439367311072056,0.0235525024533857,0.0117762512266928,0.00132450331125828,0.170860927152318,0.0206502636203866,0.0353287536800785,0.172185430463576
A3478:250413254,13916,2084,0.029031330842196,0.0207259124456577,0.000202204023860075,0.0203585536311152,0.00334244910361592,0.00681198910081744,0.155313351498638,0.0209281164695177,0.0237010027347311,0.162125340599455
A3481:250413255,15090,910,0.0125248508946322,0.0100322465066284,0,0.00329896907216495,0.00123711340206186,0,0.0439706862091939,0.0100322465066284,0.0045360824742268,0.0439706862091939
A3487:250413256,4887,446,0.00920810313075507,0.00563153660498793,0.00053633681952266,0.0106007067137809,0,0,0.027027027027027,0.00616787342451059,0.0106007067137809,0.027027027027027
A3488:250413257,1220,343,0.040983606557377,0.0304806565064478,0,0.0367892976588629,0.0100334448160535,0,0.147058823529412,0.0304806565064478,0.0468227424749164,0.147058823529412
A3490:250413258,12708,3292,0.080815234497954,0.0483926324219197,0.00263127788582542,0.0852785558667912,0.0248988484282602,0.0450928381962865,0.255968169761273,0.0510239103077451,0.110177404295051,0.30106100795756
A3491:250413259,13507,1880,0.0352409861553269,0.0235715037356624,0.0002104598547827,0.0271507016473459,0.00793166564978645,0.0068870523415978,0.179063360881543,0.0237819635904451,0.0350823672971324,0.18595041322314
A3492:250413260,13361,2639,0.0458049547189582,0.030887623866751,0.000843348091924942,0.0385356454720617,0.010597302504817,0.00657030223390276,0.201051248357424,0.0317309719586759,0.0491329479768786,0.207621550591327
A3493:250413261,12129,3103,0.0549921675323605,0.032952806873014,0.00105919736377545,0.0559322033898305,0.0149152542372881,0.0263929618768328,0.221407624633431,0.0340120042367895,0.0708474576271186,0.247800586510264
A3495:250413262,13438,2562,0.0431611847001042,0.0291106845809341,0.000533162721262529,0.0295112204119275,0.00522594528127882,0.0173482032218092,0.216852540272615,0.0296438473021966,0.0347371656932063,0.234200743494424
A3497:250413263,9867,2654,0.0844228235532583,0.0482087571870854,0.00265369305616984,0.10223642172524,0.0283546325878594,0.0362068965517241,0.241379310344828,0.0508624502432552,0.130591054313099,0.277586206896552
A3499:250413295,14321,1679,0.0120801619998603,0.0074526353596121,8.97907874652061e-05,0.0128307939053729,0.00641539695268645,0.00516262261228704,0.0283944243675787,0.00754242614707731,0.0192461908580593,0.0335570469798658
A3500:250413296,13095,2905,0.0686521573119511,0.0467563462790193,0.00195270123671078,0.0639665702346512,0.0138219222115076,0.0182767624020888,0.253263707571802,0.0487090475157301,0.0777884924461588,0.27154046997389
A3501:250413297,15363,637,0.00768079151207446,0.00528567832871885,8.38996560114104e-05,0.00393959290873276,0.00262639527248851,0,0.0229047371160854,0.00536957798473026,0.00656598818122127,0.0229047371160854
