pid,tot,miss,toter,er01,er02,er10,er12,er20,er21,er0,er1,er2
A0003:250415708,0,23281,0,0,0,0,0,0,0,0,0,0
A0004:250415709,14729,1271,0.0203000882612533,0.0140567642582147,8.95335303071e-05,0.0122535961640916,0.00372935535428876,0.0017825311942959,0.0641711229946524,0.0141462977885218,0.0159829515183804,0.0659536541889483
A0008:250415711,13752,2248,0.0542466550319953,0.0362689006947282,0.000715161422149571,0.0458111076247254,0.011923438970819,0.0231660231660232,0.234234234234234,0.0369840621168778,0.0577345465955444,0.257400257400257
A0013:250415712,14314,1686,0.027595361184854,0.0162518573551263,0.00037147102526003,0.0276639344262295,0.00870901639344262,0.00501882057716437,0.0859473023839398,0.0166233283803863,0.0363729508196721,0.0909661229611041
A0014:250415713,14574,1426,0.0133113764237684,0.00652584578396016,0.00034346556757685,0.0229555236728838,0.0100430416068867,0.00627521290900941,0.0345136709995518,0.00686931135153701,0.0329985652797704,0.0407888839085612
A0015:250415714,10857,5143,0.136409689601179,0.0848173064239546,0.00184672206832872,0.157708905453119,0.0462926637897215,0.0591471801925722,0.359009628610729,0.0866640284922833,0.20400156924284,0.418156808803301
A0017:250415715,10100,5900,0.162475247524752,0.0940838126540674,0.0060257463708573,0.207136237256719,0.0634847080630213,0.0859375,0.4234375,0.100109559024925,0.27062094531974,0.509375
A0020:250415716,13475,2525,0.0584786641929499,0.038950304783552,0.000103316458311809,0.0447557225828493,0.0143491629654937,0.0161104718066743,0.256616800920598,0.0390536212418638,0.059104885548343,0.272727272727273
A0021:250415717,14003,1997,0.0242805113190031,0.0143756459644837,0.000187916940712205,0.0251730648206419,0.012586532410321,0.00677583286278938,0.0638057594579334,0.0145635629051959,0.0377595972309629,0.0705815923207228
A0022:250415719,14163,1837,0.0485066723151875,0.0342131979695431,0.000406091370558376,0.0274934191284001,0.0105293945598128,0.00894854586129754,0.232662192393736,0.0346192893401015,0.0380228136882129,0.241610738255034
A0024:250415720,14740,1260,0.0260515603799186,0.0168468468468468,9.00900900900901e-05,0.0219721329046088,0.0128617363344051,0.00338218714768884,0.0704622322435175,0.0169369369369369,0.0348338692390139,0.0738444193912063
A0027:250415721,11122,4878,0.213360906311814,0.117715019255456,0.00590500641848524,0.294980694980695,0.0691119691119691,0.11455525606469,0.514824797843666,0.123620025673941,0.364092664092664,0.629380053908356
A0028:250415722,11322,4678,0.13734322557852,0.0790399597888917,0.00351847197788389,0.171320754716981,0.0475471698113208,0.0602240896358543,0.38515406162465,0.0825584317667756,0.218867924528302,0.445378151260504
A0030:250415723,14656,1344,0.0165120087336245,0.00924214417744917,0.000264061262212833,0.0159846547314578,0.00767263427109974,0.00173310225303293,0.0543038705950318,0.009506205439662,0.0236572890025575,0.0560369728480647
A0031:250415724,14802,1198,0.0250641805161465,0.0160628234874175,0.000446189541317152,0.0269814502529511,0.0106801573917931,0.00440286186020914,0.0610897083104018,0.0165090130287346,0.0376616076447442,0.0654925701706109
A0034:250415725,13583,2417,0.0429949201207392,0.0281837160751566,0.000208768267223382,0.0291878172588832,0.00602791878172589,0.00352526439482961,0.232667450058754,0.02839248434238,0.0352157360406091,0.236192714453584
A0035:250415726,13577,2423,0.0634160712970465,0.0415130123274681,0.000842903803603414,0.0485527544351074,0.0177404295051354,0.0126002290950745,0.269186712485682,0.0423559161310715,0.0662931839402428,0.281786941580756
A0036:250415727,14035,1965,0.0596366227288921,0.0392017828200972,0.00020259319286872,0.0498188405797101,0.0169082125603865,0.0117508813160987,0.254994124559342,0.039404376012966,0.0667270531400966,0.266745005875441
A0038:250415728,13089,2911,0.0647108258843304,0.0417985375968569,0.00098221106624468,0.0665188470066519,0.0133037694013304,0.0260078023407022,0.237971391417425,0.0427807486631016,0.0798226164079823,0.263979193758127
A0039:250415729,10480,5520,0.208874045801527,0.122013422818792,0.00711409395973154,0.284438775510204,0.0573979591836735,0.104719764011799,0.519174041297935,0.129127516778523,0.341836734693878,0.623893805309734
A0042:250415730,12430,3570,0.101206757843926,0.0617786829599457,0.00248925096175605,0.099381143065162,0.0291226792864944,0.0355029585798817,0.363313609467456,0.0642679339217017,0.128503822351656,0.398816568047337
A0044:250415731,13659,2341,0.0592283476096347,0.038252508361204,0.000836120401337793,0.0533049040511727,0.0164483703929333,0.0198019801980198,0.235148514851485,0.0390886287625418,0.069753274444106,0.254950495049505
A0045:250415732,14122,1878,0.025421328423736,0.0164784299203851,0.000277726346972783,0.0250596658711217,0.0035799522673031,0.0072992700729927,0.0717761557177616,0.0167561562673579,0.0286396181384248,0.0790754257907543
A0048:250415733,12192,3808,0.0796423884514436,0.0533457033515018,0.00139162704395222,0.0779541446208113,0.0158730158730159,0.0299727520435967,0.287465940054496,0.054737330395454,0.0938271604938272,0.317438692098093
A0049:250415734,14719,1281,0.0312521231061893,0.0195319531953195,0.00063006300630063,0.0314270994332818,0.0113343637300361,0.00539568345323741,0.0863309352517986,0.0201620162016202,0.0427614631633179,0.091726618705036
A0051:250415735,8626,1785,0.0208671458381637,0.0108479755538579,0.000152788388082506,0.0292841648590022,0.0195227765726681,0.00172562553925798,0.0526315789473684,0.0110007639419404,0.0488069414316703,0.0543572044866264
A0052:250415736,14872,1128,0.0217186659494352,0.0123729562527618,0.000530269553689792,0.0138445154419595,0.00745473908413206,0.00178677784395473,0.0798094103633115,0.0129032258064516,0.0212992545260916,0.0815961882072662
A0060:250441870,14645,1355,0.0139296688289519,0.00648838228846997,0.000350723366944323,0.0391836734693878,0.0106122448979592,0.00446650124069479,0.0277915632754342,0.00683910565541429,0.0497959183673469,0.032258064516129
A0061:250415737,12053,3947,0.0818883265577035,0.0529824561403509,0.00233918128654971,0.0734588409007014,0.0188261351052049,0.0289672544080605,0.30352644836272,0.0553216374269006,0.0922849760059062,0.332493702770781
A0064:250415738,13958,2042,0.0512967473850122,0.0346307079374808,0.000408621922566146,0.0414255254340542,0.0115747791653975,0.00451467268623025,0.220090293453725,0.035039329860047,0.0530003045994517,0.224604966139955
A0066:250415739,13034,2966,0.0688967316249808,0.0453801679938911,0.00087269553834406,0.0549057829759584,0.0178687459389214,0.0240811153358682,0.29277566539924,0.0462528635322352,0.0727745289148798,0.316856780735108
A0072:250415740,13683,2317,0.0552510414382811,0.038552482779891,0.000205613241492752,0.0388001304206065,0.0104336485164656,0.00899887514060742,0.247469066366704,0.0387580960213838,0.0492337789370721,0.256467941507312
