kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21,er0,er1,er2,toter
13FL991569:250306167,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL991928:250307709,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL992780:250308854,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL990162:250409262,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL991381:250410664,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL991844:250411142,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL992553:250411832,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL990342:250294590,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL991898:250411187,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL990237:250409366,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL991073:250410298,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL990743:250295036,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL992395:250308272,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL992723:250308798,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL990968:250307208,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL990955:250410165,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL990973:250410181,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL991638:250306264,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL990714:250409899,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL991172:250410419,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL991193:250305855,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL992683:250411972,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL991622:250306246,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
14FL990806:250410009,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
13FL990242:250426656,25346,0,0,156291,0,0,4662,0,0,0,0,0,0
