kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21,er0,er1,er2,toter
A0008,5658,0,0,47659,0,0,771,0,0,0,0,0,0
A0020,5253,0,0,48435,0,0,819,0,0,0,0,0,0
A0022,6193,0,0,47675,0,0,822,0,0,0,0,0,0
A0034,5350,0,0,47667,0,0,763,0,0,0,0,0,0
A0035,5294,0,0,47453,0,0,782,0,0,0,0,0,0
A0036,5535,0,0,47345,0,0,833,0,0,0,0,0,0
A0038,5428,0,0,47785,0,0,719,0,0,0,0,0,0
A0044,5687,0,0,47476,0,0,800,0,0,0,0,0,0
A0064,5428,0,0,48060,0,0,858,0,0,0,0,0,0
A0072,5560,0,0,47890,0,0,767,0,0,0,0,0,0
A0081,5869,0,0,48260,0,0,818,0,0,0,0,0,0
A0085,5430,0,0,48230,0,0,818,0,0,0,0,0,0
A0094,5260,0,0,48239,0,0,812,0,0,0,0,0,0
A0103,5501,0,0,47329,0,0,772,0,0,0,0,0,0
A0107,5521,0,0,47411,0,0,863,0,0,0,0,0,0
A0112,5253,0,0,48435,0,0,819,0,0,0,0,0,0
A0113,5497,0,0,47405,0,0,810,0,0,0,0,0,0
A0115,5501,0,0,47329,0,0,772,0,0,0,0,0,0
A0121,5351,0,0,47255,0,0,775,0,0,0,0,0,0
A0126,5371,0,0,48053,0,0,800,0,0,0,0,0,0
A0134,5141,0,0,47853,0,0,817,0,0,0,0,0,0
A0137,5409,0,0,47664,0,0,779,0,0,0,0,0,0
A0142,5411,0,0,47728,0,0,780,0,0,0,0,0,0
A0143,5661,0,0,47236,0,0,857,0,0,0,0,0,0
A0148,5639,0,0,48467,0,0,833,0,0,0,0,0,0
A0154,6193,0,0,47675,0,0,822,0,0,0,0,0,0
A0172,5703,0,0,48321,0,0,802,0,0,0,0,0,0
A0182,5501,0,0,47329,0,0,772,0,0,0,0,0,0
A0184,5570,0,0,47355,0,0,885,0,0,0,0,0,0
A0186,5661,0,0,47236,0,0,857,0,0,0,0,0,0
A0194,5703,0,0,48321,0,0,802,0,0,0,0,0,0
A0201,5481,0,0,47516,0,0,814,0,0,0,0,0,0
A0205,5346,0,0,47427,0,0,789,0,0,0,0,0,0
A0213,5501,0,0,47329,0,0,772,0,0,0,0,0,0
A0216,5703,0,0,48321,0,0,802,0,0,0,0,0,0
A0231,5510,0,0,47433,0,0,761,0,0,0,0,0,0
A0263,5499,0,0,47422,0,0,788,0,0,0,0,0,0
A0264,5318,0,0,47674,0,0,701,0,0,0,0,0,0
A0269,5686,0,0,47472,0,0,742,0,0,0,0,0,0
A0279,5430,0,0,48230,0,0,818,0,0,0,0,0,0
A0291,5411,0,0,47728,0,0,780,0,0,0,0,0,0
A0303,5869,0,0,48260,0,0,818,0,0,0,0,0,0
A0305,5415,0,0,47983,0,0,778,0,0,0,0,0,0
A0318,6387,0,0,48208,0,0,950,0,0,0,0,0,0
A0321,5501,0,0,47329,0,0,772,0,0,0,0,0,0
A0323,5558,0,0,48289,0,0,769,0,0,0,0,0,0
A0324,5501,0,0,47329,0,0,772,0,0,0,0,0,0
A0329,5259,0,0,47682,0,0,841,0,0,0,0,0,0
A0345,5259,0,0,47682,0,0,841,0,0,0,0,0,0
A0350,5700,0,0,47807,0,0,725,0,0,0,0,0,0
A0360,5259,0,0,47682,0,0,841,0,0,0,0,0,0
A0375,5639,0,0,48467,0,0,833,0,0,0,0,0,0
A0377,5400,0,0,48152,0,0,720,0,0,0,0,0,0
A0379,5346,0,0,47427,0,0,789,0,0,0,0,0,0
A0384,5474,0,0,48187,0,0,881,0,0,0,0,0,0
A0385,5501,0,0,47329,0,0,772,0,0,0,0,0,0
A0392,5415,0,0,47983,0,0,778,0,0,0,0,0,0
A0394,5786,0,0,48358,0,0,928,0,0,0,0,0,0
A0404,5558,0,0,48289,0,0,769,0,0,0,0,0,0
A0406,5253,0,0,48435,0,0,819,0,0,0,0,0,0
A0434,5546,0,0,48220,0,0,838,0,0,0,0,0,0
A0435,6123,0,0,48265,0,0,893,0,0,0,0,0,0
A0439,5519,0,0,47916,0,0,809,0,0,0,0,0,0
