pid,tot,miss,toter,er01,er02,er10,er12,er20,er21,er0,er1,er2
A0003:250415708,0,23281,0,0,0,0,0,0,0,0,0,0
A0004:250415709,14518,1482,0.0166000826560132,0.0119749614442529,0.000181438809761408,0.00542593597395551,0.00271296798697775,0.00181598062953995,0.0538740920096852,0.0121564002540143,0.00813890396093326,0.0556900726392252
A0008:250415711,13487,2513,0.0457477570994291,0.0311134235171696,0.000624349635796046,0.0304487179487179,0.00865384615384615,0.00924702774108322,0.241743725231176,0.0317377731529657,0.0391025641025641,0.250990752972259
A0013:250415712,14122,1878,0.0235802294292593,0.014203743768225,0.000376258113065563,0.0217729393468118,0.00570243649559357,0.00256081946222791,0.0774647887323944,0.0145800018812906,0.0274753758424054,0.0800256081946223
A0014:250415713,14409,1591,0.010132556041363,0.00502686774137632,0.000693361067776044,0.00597907324364723,0.00896860986547085,0.0072661217075386,0.0245231607629428,0.00572022880915237,0.0149476831091181,0.0317892824704814
A0015:250415714,12484,3516,0.1264017942967,0.0791110087517273,0.00207277752187932,0.145035581158929,0.0308370044052863,0.0636042402826855,0.353356890459364,0.0811837862736066,0.175872585564216,0.416961130742049
A0017:250415715,13313,2687,0.144295049951176,0.0884410566983398,0.0060561762556124,0.159972057282571,0.0464547677261614,0.0572737686139748,0.429553264604811,0.0944972329539522,0.206426825008732,0.486827033218786
A0020:250415716,13501,2499,0.0507369824457448,0.036611852311511,0.000930809804529941,0.0285618279569892,0.00873655913978495,0.0163551401869159,0.230140186915888,0.037542662116041,0.0372983870967742,0.246495327102804
A0021:250415717,13853,2147,0.0196347361582329,0.011758012516594,9.48226815854352e-05,0.0173633440514469,0.00836012861736334,0.00684931506849315,0.0542237442922374,0.0118528351981794,0.0257234726688103,0.0610730593607306
A0022:250415719,13734,2266,0.0416484636668123,0.029353181675228,0.000524163958486214,0.0183293269230769,0.00691105769230769,0.00807381776239908,0.226066897347174,0.0298773456337142,0.0252403846153846,0.234140715109573
A0024:250415720,14294,1706,0.0174198964600532,0.0116742332993607,9.26526452330214e-05,0.00957746478873239,0.00732394366197183,0.00289687137891078,0.0504055619930475,0.0117668859445937,0.0169014084507042,0.0533024333719583
A0027:250415721,13467,2533,0.190094304596421,0.112322676265086,0.00603430023290282,0.243035542747358,0.0515529939161063,0.103563474387528,0.477728285077951,0.118356976497989,0.294588536663465,0.581291759465479
A0028:250415722,13212,2788,0.126627308507417,0.0765503875968992,0.00376830318690784,0.143042912873862,0.0390117035110533,0.0625,0.370283018867925,0.0803186907838071,0.182054616384915,0.432783018867925
A0030:250415723,14491,1509,0.0135946449520392,0.00808960796515246,0.000266690372477554,0.009765625,0.00651041666666667,0.000586166471277843,0.0451348182883939,0.00835629833763001,0.0162760416666667,0.0457209847596717
A0031:250415724,14710,1290,0.0214819850441876,0.0154246255941171,0.000448390278898753,0.0169300225733634,0.00677200902934537,0.00335758254057079,0.050923335198657,0.0158730158730159,0.0237020316027088,0.0542809177392278
A0034:250415725,13359,2641,0.0364548244629089,0.0252386002120891,0.00031813361611877,0.0144834245252655,0.00547151593176698,0.00608272506082725,0.217761557177616,0.0255567338282078,0.0199549404570325,0.223844282238443
A0035:250415726,13572,2428,0.0561450044208665,0.0369744348193535,0.000845129938728079,0.0426716141001855,0.0111317254174397,0.0137614678899083,0.25,0.0378195647580816,0.0538033395176252,0.263761467889908
A0036:250415727,13639,2361,0.0489038785834739,0.0331664580725907,0.000625782227784731,0.0323874151758174,0.0107958050586058,0.00865265760197775,0.242274412855377,0.0337922403003755,0.0431832202344232,0.250927070457355
A0038:250415728,12941,3059,0.0586507997836334,0.0404185022026432,0.000991189427312775,0.0492594977462975,0.00965872504829363,0.0317880794701987,0.233112582781457,0.0414096916299559,0.0589182227945911,0.264900662251656
A0039:250415729,13326,2674,0.185426984841663,0.111452810180276,0.00498409331919406,0.226831716293075,0.0508531281365005,0.0771775082690187,0.521499448732084,0.11643690349947,0.277684844429575,0.598676957001102
A0042:250415730,12704,3296,0.096426322418136,0.0612335782676464,0.0027833444667112,0.0933472657610589,0.0219435736677116,0.0387779083431257,0.336075205640423,0.0640169227343576,0.11529083942877,0.374853113983549
A0044:250415731,13863,2137,0.0548943230181057,0.038263201320132,0.000825082508250825,0.0396634615384615,0.0111177884615385,0.0286054827175209,0.225268176400477,0.0390882838283828,0.05078125,0.253873659117998
A0045:250415732,13950,2050,0.0210752688172043,0.0146825025717759,0.00028055737398298,0.0133982947624848,0.00182704019488429,0.00804953560371517,0.0594427244582043,0.0149630599457589,0.0152253349573691,0.0674922600619195
A0048:250415733,12786,3214,0.0758642264977319,0.0510373904360368,0.000998557638965938,0.0699630003363606,0.0117726202489068,0.04,0.2825,0.0520359480750028,0.0817356205852674,0.3225
A0049:250415734,14506,1494,0.0255066868881842,0.0162393942158562,0.000638627862421312,0.025130890052356,0.00628272251308901,0.00489296636085627,0.0715596330275229,0.0168780220782775,0.031413612565445,0.0764525993883792
A0051:250415735,8378,2033,0.0138457865839102,0.00672505473881764,0,0.0141676505312869,0.012987012987013,0.000879507475813544,0.0430958663148637,0.00672505473881764,0.0271546635182999,0.0439753737906772
A0052:250415736,14572,1428,0.0164013175953884,0.00900333123255605,0.000630233186278923,0.00768386388583974,0.00439077936333699,0,0.0669506999391357,0.00963356441883497,0.0120746432491767,0.0669506999391357
A0060:250441870,14439,1561,0.0100422466929843,0.0042526800744219,0.000442987507752281,0.0284237726098191,0.00775193798449612,0.00351582119537921,0.0215971873430437,0.00469566758217418,0.0361757105943152,0.0251130085384229
A0061:250415737,12632,3368,0.0804306523115896,0.0512162463735773,0.00178531577772819,0.0763815557902147,0.0175994368180218,0.037394451145959,0.293124246079614,0.0530015621513055,0.0939809926082365,0.330518697225573
A0064:250415738,13495,2505,0.0420896628380882,0.0306456726196766,0.000528373665856494,0.0215189873417722,0.00664556962025316,0.00802752293577982,0.202981651376147,0.0311740462855331,0.0281645569620253,0.211009174311927
A0066:250415739,13326,2674,0.059957976887288,0.040668582987331,0.000638773554774832,0.0424920127795527,0.00990415335463259,0.024906600249066,0.282689912826899,0.0413073565421058,0.0523961661341853,0.307596513075965
A0072:250415740,13493,2507,0.0483954643148299,0.0348352106800167,0,0.0292955892034233,0.00658327847267939,0.00922722029988466,0.232987312572088,0.0348352106800167,0.0358788676761027,0.242214532871972
A0073:250415741,13858,2142,0.0212151825660268,0.0122197633022226,0.000384874434715674,0.0264900662251656,0.010485651214128,0.00302480338777979,0.0550514216575923,0.0126046377369383,0.0369757174392936,0.058076225045372
A0078:250415742,13329,2671,0.0478655563057994,0.0324019972378625,0.00127483267821098,0.0317357512953368,0.00680051813471503,0.0193236714975845,0.22463768115942,0.0336768299160735,0.0385362694300518,0.243961352657005
A0081:250415743,13338,2662,0.0384615384615385,0.0290178571428571,0.000425170068027211,0.0168224299065421,0.00404984423676012,0.0138888888888889,0.220833333333333,0.0294430272108844,0.0208722741433022,0.234722222222222
A0082:250415744,13123,2877,0.0156976301150652,0.00692109946608661,0.000593237097093138,0.0229612034837688,0.00791765637371338,0.00572737686139748,0.0463917525773196,0.00751433656317975,0.0308788598574822,0.0521191294387171
A0084:250415745,10484,3404,0.0913773368943152,0.0584946823016089,0.00272702481592582,0.0998421468034728,0.0149960536700868,0.0470779220779221,0.306818181818182,0.0612217071175348,0.11483820047356,0.353896103896104
A0085:250415746,12980,3020,0.0550077041602465,0.0381323800238327,0.00108330625067707,0.0436339954412244,0.0113969391077825,0.0324483775811209,0.237463126843658,0.0392156862745098,0.0550309345490068,0.269911504424779
