pid,tot,miss,toter,er01,er02,er10,er12,er20,er21,er0,er1,er2
A0003:250415708,0,23281,0,0,0,0,0,0,0,0,0,0
A0004:250415709,14466,1534,0.0152772017143647,0.0112850382235166,0,0.00328048113723346,0.00164024056861673,0.00181928441479685,0.0515463917525773,0.0112850382235166,0.00492072170585019,0.0533656761673742
A0008:250415711,13396,2604,0.0404598387578382,0.0293285848957788,0.000418979784225411,0.0202702702702703,0.00546975546975547,0.0067476383265857,0.233468286099865,0.0297475646800042,0.0257400257400257,0.240215924426451
A0013:250415712,13870,2130,0.0201153568853641,0.0133779264214047,0,0.0101876675603217,0.00268096514745308,0.0012987012987013,0.0733766233766234,0.0133779264214047,0.0128686327077748,0.0746753246753247
A0014:250415713,14227,1773,0.00815351092992198,0.0041260644368361,0.000175577210078132,0.00449775112443778,0.00899550224887556,0.00368833563854311,0.0230520977408944,0.00430164164691423,0.0134932533733133,0.0267404333794375
A0015:250415714,10076,5924,0.0809845176657404,0.0527888446215139,0.00128059191804212,0.0774111675126904,0.016497461928934,0.0248538011695906,0.288011695906433,0.0540694365395561,0.0939086294416244,0.312865497076023
A0017:250415715,10725,5275,0.104149184149184,0.0675132823636128,0.00246209666969029,0.100391134289439,0.0269448066058236,0.0381895332390382,0.363507779349364,0.0699753790333031,0.127335940895263,0.401697312588402
A0020:250415716,13372,2628,0.0430002991325157,0.0320532833801644,0.000312207305650952,0.0174478275744099,0.00513171399247349,0.00952380952380952,0.226190476190476,0.0323654906858154,0.0225795415668833,0.235714285714286
A0021:250415717,13641,2359,0.016054541455905,0.00952106174264282,0,0.0119047619047619,0.00529100529100529,0.00288850375505488,0.0514153668399769,0.00952106174264282,0.0171957671957672,0.0543038705950318
A0022:250415719,13912,2088,0.0362277170787809,0.0260986177016711,0.00010315659170621,0.0139797739440809,0.00386674598453302,0.00467289719626168,0.217289719626168,0.0262017742933773,0.0178465199286139,0.22196261682243
A0024:250415720,14154,1846,0.0155433093118553,0.0111308577308016,9.35366195865681e-05,0.00457142857142857,0.00457142857142857,0.000583771161704612,0.0484530064214828,0.0112243943503882,0.00914285714285714,0.0490367775831874
A0027:250415721,8838,7162,0.12468884362978,0.0758764206819273,0.00240115255322555,0.146089522872602,0.0349237579931136,0.046594982078853,0.39247311827957,0.0782775732351529,0.181013280865716,0.439068100358423
A0028:250415722,10925,5075,0.0825629290617849,0.0529154893398407,0.00128435653737478,0.081484469544171,0.0237999193223074,0.0303030303030303,0.301515151515152,0.0541998458772155,0.105284388866478,0.331818181818182
A0030:250415723,14376,1624,0.0125208681135225,0.0073417494851822,0.0002686005909213,0.00794701986754967,0.00662251655629139,0,0.0430170889805539,0.0076103500761035,0.0145695364238411,0.0430170889805539
