size,error,rand
62,20,4
63,21,4
64,30,4
65,27,4
66,25,4
67,26,4
68,26,4
69,29,4
70,25,4
71,18,4
72,19,4
73,26,4
74,21,4
75,21,4
76,21,4
77,19,4
78,26,4
79,15,4
80,21,4
81,20,4
82,18,4
83,30,4
84,27,4
85,28,4
86,27,4
87,26,4
88,26,4
89,24,4
90,15,4
91,27,4
92,25,4
93,24,4
94,26,4
95,18,4
96,27,4
97,31,4
98,25,4
99,25,4
100,25,4
1,76,5
2,94,5
3,97,5
4,83,5
5,72,5
6,79,5
7,80,5
8,89,5
9,58,5
10,63,5
11,58,5
12,53,5
13,45,5
14,40,5
15,47,5
16,49,5
17,49,5
18,43,5
19,49,5
20,61,5
21,37,5
22,36,5
23,38,5
24,37,5
25,41,5
26,45,5
27,49,5
28,42,5
29,36,5
30,34,5
31,33,5
32,24,5
33,11,5
34,35,5
35,35,5
36,31,5
37,35,5
38,28,5
39,35,5
40,34,5
41,40,5
42,33,5
43,28,5
44,22,5
45,34,5
46,32,5
47,32,5
48,36,5
49,26,5
50,25,5
51,28,5
52,22,5
53,37,5
54,30,5
55,21,5
56,22,5
57,29,5
58,34,5
59,40,5
60,35,5
61,27,5
62,22,5
63,28,5
64,26,5
65,19,5
66,29,5
67,22,5
68,27,5
69,23,5
70,24,5
71,29,5
72,22,5
73,27,5
74,29,5
75,23,5
76,28,5
77,27,5
78,21,5
79,23,5
80,20,5
81,25,5
82,32,5
83,32,5
84,25,5
85,19,5
86,25,5
87,23,5
88,23,5
89,18,5
90,24,5
91,27,5
92,31,5
93,31,5
94,23,5
95,18,5
96,16,5
97,23,5
98,18,5
99,25,5
100,22,5
