size,error,rand
58,15,3
59,11,3
60,10,3
61,10,3
62,10,3
63,6,3
64,14,3
65,6,3
66,10,3
67,9,3
68,6,3
69,7,3
70,5,3
71,8,3
72,5,3
73,10,3
74,4,3
75,1,3
76,7,3
77,3,3
78,2,3
79,4,3
80,2,3
81,5,3
82,6,3
83,1,3
84,4,3
85,7,3
86,2,3
87,4,3
88,5,3
89,5,3
90,2,3
91,2,3
92,3,3
93,6,3
94,4,3
95,3,3
96,2,3
97,2,3
98,1,3
99,2,3
100,4,3
1,121,4
2,97,4
3,105,4
4,100,4
5,94,4
6,99,4
7,85,4
8,74,4
9,86,4
10,83,4
11,63,4
12,69,4
13,66,4
14,69,4
15,74,4
16,67,4
17,68,4
18,47,4
19,43,4
20,51,4
21,44,4
22,54,4
23,40,4
24,47,4
25,44,4
26,32,4
27,35,4
28,30,4
29,31,4
30,25,4
31,42,4
32,31,4
33,26,4
34,28,4
35,25,4
36,20,4
37,25,4
38,21,4
39,27,4
40,15,4
41,12,4
42,20,4
43,15,4
44,9,4
45,13,4
46,21,4
47,19,4
48,13,4
49,17,4
50,14,4
51,12,4
52,8,4
53,15,4
54,11,4
55,18,4
56,10,4
57,11,4
58,6,4
59,14,4
60,6,4
61,8,4
62,7,4
63,9,4
64,10,4
65,5,4
66,9,4
67,7,4
68,9,4
69,9,4
70,5,4
71,6,4
72,6,4
73,5,4
74,13,4
75,7,4
76,6,4
77,5,4
78,3,4
79,7,4
80,2,4
81,9,4
82,6,4
83,1,4
84,2,4
85,10,4
86,2,4
87,5,4
88,8,4
89,5,4
90,3,4
91,0,4
92,1,4
93,3,4
94,2,4
95,7,4
96,3,4
97,3,4
98,4,4
99,1,4
100,2,4
1,123,5
2,113,5
3,117,5
4,122,5
5,99,5
6,89,5
7,83,5
8,70,5
9,72,5
10,66,5
11,74,5
12,61,5
13,63,5
14,66,5
15,60,5
16,53,5
17,70,5
18,52,5
19,43,5
20,52,5
21,53,5
22,56,5
23,51,5
24,32,5
25,37,5
26,48,5
27,38,5
28,52,5
29,34,5
30,24,5
31,34,5
32,23,5
33,27,5
34,23,5
35,25,5
36,26,5
37,23,5
38,29,5
39,29,5
40,23,5
41,17,5
42,17,5
43,16,5
44,13,5
45,18,5
46,13,5
47,13,5
48,17,5
49,15,5
50,15,5
51,9,5
52,8,5
53,12,5
54,12,5
55,10,5
56,8,5
57,7,5
58,15,5
59,13,5
60,9,5
61,1,5
62,7,5
63,13,5
64,11,5
65,9,5
66,6,5
67,3,5
68,6,5
69,9,5
70,3,5
71,7,5
72,11,5
73,6,5
74,13,5
75,7,5
76,2,5
77,3,5
78,3,5
79,4,5
80,5,5
81,5,5
82,6,5
83,6,5
84,4,5
85,2,5
86,1,5
87,6,5
88,4,5
89,5,5
90,3,5
91,10,5
92,6,5
93,1,5
94,3,5
95,1,5
96,2,5
97,0,5
98,0,5
99,1,5
100,4,5
1,127,6
2,104,6
3,87,6
4,84,6
5,96,6
6,80,6
7,85,6
8,78,6
9,76,6
10,96,6
11,65,6
12,69,6
13,59,6
14,73,6
15,64,6
16,53,6
17,71,6
18,48,6
19,49,6
20,44,6
21,57,6
22,39,6
23,55,6
24,33,6
25,40,6
26,43,6
27,30,6
28,29,6
29,28,6
30,35,6
31,31,6
32,29,6
33,24,6
34,27,6
35,25,6
36,17,6
37,21,6
38,20,6
39,20,6
40,25,6
41,28,6
42,21,6
43,19,6
44,20,6
45,22,6
46,11,6
47,18,6
48,18,6
49,11,6
50,12,6
51,13,6
52,15,6
53,29,6
54,10,6
55,8,6
56,17,6
57,7,6
58,13,6
59,10,6
60,8,6
61,10,6
62,9,6
63,7,6
64,9,6
65,9,6
66,6,6
67,6,6
68,6,6
69,3,6
70,7,6
71,6,6
72,12,6
73,5,6
74,3,6
75,2,6
76,6,6
77,4,6
78,5,6
79,5,6
80,2,6
81,4,6
82,1,6
83,9,6
84,2,6
85,9,6
86,3,6
87,2,6
88,6,6
89,2,6
90,2,6
91,7,6
92,6,6
93,5,6
94,2,6
95,4,6
96,2,6
97,4,6
98,5,6
99,4,6
100,1,6
1,127,7
2,117,7
3,100,7
4,96,7
5,99,7
6,90,7
7,80,7
8,77,7
9,78,7
10,63,7
11,80,7
12,61,7
13,53,7
14,64,7
15,67,7
16,54,7
17,54,7
18,60,7
19,48,7
20,52,7
21,54,7
22,55,7
23,57,7
24,39,7
25,50,7
26,47,7
27,38,7
28,47,7
29,38,7
30,28,7
31,17,7
32,24,7
33,13,7
34,24,7
35,16,7
36,26,7
37,23,7
38,15,7
39,23,7
40,29,7
41,22,7
42,17,7
43,20,7
44,20,7
45,20,7
46,25,7
47,12,7
48,15,7
49,11,7
50,20,7
51,9,7
52,13,7
53,8,7
54,18,7
55,16,7
56,4,7
57,10,7
58,9,7
59,12,7
60,16,7
61,10,7
62,9,7
63,4,7
64,13,7
65,8,7
66,15,7
67,11,7
68,16,7
69,8,7
70,10,7
71,6,7
72,7,7
73,6,7
74,5,7
75,4,7
76,4,7
77,6,7
78,2,7
79,6,7
80,2,7
81,2,7
82,2,7
83,5,7
84,4,7
85,6,7
86,4,7
87,4,7
88,4,7
89,3,7
90,3,7
91,6,7
92,1,7
93,3,7
94,2,7
95,2,7
96,0,7
97,5,7
98,2,7
99,3,7
100,3,7
1,125,8
2,130,8
3,99,8
4,104,8
5,111,8
6,91,8
7,108,8
8,100,8
9,78,8
10,70,8
11,60,8
12,60,8
13,61,8
14,66,8
15,55,8
16,57,8
17,49,8
18,80,8
19,75,8
20,52,8
21,59,8
22,51,8
23,43,8
24,50,8
25,51,8
26,38,8
27,48,8
28,29,8
29,37,8
30,27,8
31,21,8
32,38,8
33,19,8
34,29,8
35,27,8
36,32,8
37,17,8
38,22,8
39,20,8
40,22,8
41,21,8
42,18,8
43,12,8
44,14,8
45,12,8
46,17,8
47,13,8
48,14,8
49,12,8
50,13,8
51,9,8
52,14,8
53,13,8
54,14,8
55,12,8
56,16,8
57,13,8
58,9,8
59,5,8
60,6,8
61,11,8
62,4,8
63,6,8
64,5,8
65,9,8
66,9,8
67,7,8
68,15,8
69,5,8
70,5,8
71,7,8
72,5,8
73,5,8
74,4,8
75,5,8
76,11,8
77,18,8
78,4,8
79,2,8
80,8,8
81,0,8
82,6,8
83,2,8
84,6,8
85,3,8
86,3,8
87,2,8
88,3,8
89,2,8
90,7,8
91,4,8
92,3,8
93,2,8
94,2,8
95,0,8
96,2,8
97,2,8
98,2,8
99,1,8
100,6,8
1,102,9
2,113,9
3,101,9
4,108,9
5,105,9
6,84,9
7,90,9
8,109,9
9,93,9
10,78,9
11,71,9
12,71,9
13,77,9
14,60,9
15,61,9
16,46,9
17,58,9
18,49,9
19,42,9
20,51,9
21,49,9
22,47,9
23,35,9
24,45,9
25,45,9
26,34,9
27,40,9
28,38,9
29,35,9
30,32,9
31,36,9
32,23,9
33,26,9
34,30,9
35,16,9
36,18,9
37,17,9
38,21,9
39,25,9
40,10,9
41,17,9
42,18,9
43,20,9
44,11,9
45,24,9
46,12,9
47,8,9
48,13,9
49,12,9
50,18,9
51,12,9
52,9,9
53,13,9
54,14,9
55,5,9
56,9,9
57,14,9
58,11,9
59,11,9
60,12,9
61,13,9
62,7,9
63,2,9
64,12,9
65,10,9
66,7,9
67,6,9
68,6,9
69,4,9
70,3,9
71,6,9
72,4,9
73,5,9
74,8,9
75,5,9
76,8,9
77,2,9
78,9,9
79,4,9
80,3,9
81,2,9
82,6,9
83,9,9
84,4,9
85,1,9
86,2,9
87,5,9
88,9,9
89,5,9
90,1,9
91,0,9
92,7,9
93,3,9
94,1,9
95,1,9
96,3,9
97,4,9
98,1,9
99,2,9
100,5,9
1,123,10
2,114,10
3,116,10
4,90,10
5,95,10
6,78,10
7,100,10
8,79,10
9,91,10
10,88,10
11,78,10
12,63,10
13,72,10
14,56,10
15,57,10
16,54,10
17,53,10
18,53,10
19,42,10
20,46,10
21,37,10
22,62,10
23,36,10
24,41,10
25,39,10
26,39,10
27,29,10
28,36,10
29,32,10
30,32,10
31,22,10
32,20,10
33,20,10
34,28,10
35,18,10
36,21,10
37,28,10
38,30,10
39,28,10
40,10,10
41,23,10
42,16,10
43,17,10
44,16,10
45,18,10
46,15,10
47,15,10
48,13,10
49,15,10
50,10,10
51,11,10
52,12,10
53,17,10
54,10,10
55,16,10
56,9,10
57,5,10
58,8,10
59,5,10
60,8,10
61,11,10
62,10,10
63,10,10
64,8,10
65,11,10
66,11,10
67,5,10
68,15,10
69,3,10
70,10,10
71,4,10
72,7,10
73,4,10
74,3,10
75,3,10
76,3,10
77,6,10
78,4,10
79,3,10
80,9,10
81,9,10
82,1,10
83,3,10
84,2,10
85,4,10
86,7,10
87,5,10
88,2,10
89,6,10
90,1,10
91,0,10
92,4,10
93,5,10
94,5,10
95,3,10
96,3,10
97,2,10
98,4,10
99,3,10
100,3,10
