pid,mr
A0003:250415708,0.502237463668445
A0004:250415709,0.417328984957025
A0008:250415711,0.476585985199754
A0013:250415712,0.453520504378458
A0014:250415713,0.501359904900014
A0015:250415714,0.426328630199225
A0017:250415715,0.477326619905025
A0020:250415716,0.471949238515494
A0021:250415717,0.427741437578187
A0022:250415719,0.494501254099942
A0024:250415720,0.566597997174385
A0027:250415721,0.524020837352884
A0028:250415722,0.516514909163332
A0030:250415723,0.49589227810522
A0031:250415724,0.458147915331138
A0034:250415725,0.435782614378271
A0035:250415726,0.411248311788539
A0036:250415727,0.522667156273923
A0038:250415728,0.468600822789143
A0039:250415729,0.427760109041345
A0042:250415730,0.47762847522608
A0044:250415731,0.464060545331201
A0045:250415732,0.411366564388541
A0048:250415733,0.459277538852203
A0049:250415734,0.507767328673766
A0051:250415735,0.549893261468946
A0052:250415736,0.570447430495478
A0060:250441870,0.44757053145208
A0061:250415737,0.448675259688933
A0064:250415738,0.412913183920136
A0066:250415739,0.404324310867414
A0072:250415740,0.410924673093799
A0073:250415741,0.485016150815632
A0078:250415742,0.429633479178207
A0081:250415743,0.420347538167583
A0082:250415744,0.513219395915929
A0084:250415745,0.512821071368556
A0085:250415746,0.480208249052423
A0086:250441871,0.485747449789324
A0089:250415747,0.447489621778395
A0090:250415748,0.49331872809993
A0091:250415749,0.56032127364274
A0092:250415750,0.418296789130719
A0094:250415751,0.515662245679112
A0095:250415752,0.508417717973773
A0100:250415753,0.511355361510646
A0101:250415754,0.557168908279549
A0102:250415755,0.424629527051838
A0103:250415756,0.501030042384221
A0107:250415757,0.471208603810223
A0112:250415758,0.579724035774523
A0113:250415759,0.494687968731523
A0114:250415760,0.55021378825316
A0115:250415761,0.521123648652854
A0116:250415762,0.573534445737616
A0118:250415763,0.458365749067983
A0119:250415764,0.52726344812134
A0121:250415765,0.472674313668133
A0123:250415766,0.528315273879245
A0126:250415767,0.505663677157954
A0127:250415768,0.502221904115813
A0128:250415769,0.578637979000828
A0129:250415770,0.532650165242449
A0131:250415771,0.502595333378975
A0132:250415772,0.456763115146913
A0134:250415773,0.529855669589788
A0135:250415774,0.45219794240476
A0137:250415775,0.52324908354235
A0139:250415776,0.497146378047338
A0140:250415777,0.571885133158651
A0142:250415778,0.475487480783952
A0143:250415779,0.475860910047114
A0144:250441872,0.508775587684303
A0146:250415780,0.472674313668133
A0148:250415781,0.45793319350482
A0149:250415782,0.609271626222203
A0150:250415783,0.516773197737019
A0151:250415784,0.509625139257996
A0152:250415785,0.461272273499592
A0154:250415786,0.540840713747798
A0156:250415787,0.476701125889228
A0171:250415788,0.442050002178337
A0172:250415789,0.520706652642323
A0173:250415790,0.533042265968769
A0176:250415791,0.808530369134827
A0178:250415792,0.46426593142594
A0179:250415793,0.506164694752696
A0180:250415794,0.520647526342323
A0182:250415795,0.465958810752273
A0183:250415796,0.476240563131329
A0184:250415797,0.464122783541728
A0186:250415798,0.426440658978173
A0189:250415799,0.564457002732257
A0190:250415800,0.555052809121632
A0191:250415801,0.557172020190076
A0193:250415802,0.452117032731075
A0194:250415803,0.501347457257909
A0195:250415835,0.573058323427085
A0196:250415836,0.565113615853317
A0197:250415837,0.61350071262751
A0198:250415838,0.585767366016692
A0199:250415839,0.603110043380033
A0201:250415840,0.517828135405451
A0204:250415841,0.552018696358442
A0205:250415842,0.580125472232422
A0206:250415843,0.538755733695145
A0207:250415844,0.519595700584417
A0209:250415846,0.548113248647875
A0210:250415847,0.672720369943923
A0211:250415848,0.629592401959259
A0212:250415849,0.626978397117126
A0213:250415850,0.63698007754881
A0214:250415851,0.554128571695307
A0215:250415852,0.542175723363602
A0216:250415854,0.563439407990141
A0219:250415855,0.596126916158907
A0220:250415856,0.56022791632695
A0221:250415857,0.626119509811854
A0222:250415858,0.603909804385304
A0227:250415859,0.455898004020588
A0231:250415860,0.503164813005296
A0235:250415861,0.540706901595165
A0240:250415862,0.625783423475008
A0245:250441873,0.45930554604694
A0251:250415863,0.571527263448121
A0252:250415864,0.535198819963528
A0258:250415865,0.593425777822036
A0263:250415866,0.559558855563785
A0264:250415867,0.516866555052809
A0265:250415868,0.576282262732382
A0266:250441874,0.433560710262459
A0267:250415869,0.581357788800856
A0269:250415870,0.563087762100664
A0273:250415871,0.635041357290895
A0275:250415872,0.62592657135922
A0276:250415873,0.588860605079883
A0279:250415874,0.565412359263846
A0280:250415875,0.591938284590442
A0284:250415876,0.648276312759456
A0286:250415877,0.610488383238005
A0287:250415878,0.605294604569529
A0290:250415879,0.624317713617098
A0291:250415880,0.61728479582755
A0297:250415881,0.623303230785508
A0300:250415882,0.618703827027565
A0301:250415883,0.999719928052629
A0302:250415884,0.563078426369085
A0303:250415885,0.606349542237962
A0305:250415886,0.572529298637606
A0311:250415887,0.57261954404287
A0312:250415888,0.63160269615928
A0313:250415889,0.597486821058921
A0315:250415890,0.608577670174827
A0318:250415891,0.634677263759312
A0320:250415892,0.583224935116666
A0321:250415893,0.570932888537589
A0323:250415894,0.600959713206326
A0324:250415895,0.663907439333304
A0325:250415896,0.604566417506364
A0328:250441883,0.458396868173246
A0329:250415897,0.597471261506289
A0330:250415898,0.573472207527089
A0331:250415899,0.570263827774424
A0332:250415900,0.605842300822167
A0335:250415901,0.597891369427346
A0336:250441875,0.441682796736228
A0337:250415902,0.599562465379995
A0342:250415903,0.627124656911864
A0343:250441876,0.391640163562017
A0345:250415904,0.594418477279941
A0347:250415905,0.585891842437746
A0348:250415906,0.597869586053662
A0349:250415907,0.554676267947944
A0350:250415908,0.575803028511324
A0351:250415909,0.64389163082783
A0352:250415910,0.858663247714302
A0353:250441877,0.433100147504559
A0354:250415911,0.597312554069445
A0355:250415912,0.5934568969273
A0356:250415913,0.597869586053662
A0358:250415914,0.607133743690601
A0359:250415915,0.615355411301214
A0360:250415916,0.613074380885401
A0361:250415917,0.612420879674868
A0362:250415918,0.566523311321753
A0363:250415919,0.642021372601495
A0365:250415920,0.616021360153853
A0372:250415921,0.565788900437535
A0375:250415922,0.608755049074829
A0377:250415923,0.530294448974003
A0378:250415924,0.588767247764092
A0379:250415925,0.553562203979511
A0380:250415926,0.664495590422784
A0384:250415927,0.657702289743765
A0385:250415928,0.603237631711613
A0387:250415929,0.575485613637637
A0389:250415930,0.632175287696128
A0392:250415962,0.597421470937868
A0393:250415963,0.60969173414326
A0395:250415964,0.683994821780884
A0397:250415965,0.608982218543252
A0399:250415966,0.571524151537595
A0402:250415967,0.616401013238067
A0404:250415968,0.572507515263921
A0405:250441878,0.402955070235821
A0406:250415969,0.528389959731878
A0407:250415970,0.598943195185252
A0414:250415971,0.652505399164763
A0415:250415972,0.576540551306069
A0416:250415973,0.589585680232522
A0417:250415974,0.625332196448688
A0420:250415975,0.587195732948286
A0422:250415976,0.598940083274726
A0423:250415977,0.580806980637693
A0426:250415978,0.597328113622077
A0429:250415979,0.533440590516141
A0433:250415981,0.566566878069122
A0434:250415982,0.606943917148494
A0435:250415983,0.559798472674314
A0439:250415984,0.60072631991685
A0444:250415985,0.607709447137976
A0449:250415986,0.588200880048297
A0450:250415987,0.582303809600866
A0451:250415989,0.675788713722903
A0452:250415990,0.593752528427303
A0453:250415991,0.592529547590448
A0454:250415992,0.763298749634351
A0455:250415993,0.598193224748402
A0456:250415994,0.542574047910974
A0458:250415995,0.568751439258618
A0459:250415996,0.581672091764018
A0461:250415997,0.626203531396065
A0462:250415998,0.644560691590995
A0463:250415999,0.653731491912145
A0464:250416000,0.599450436601047
A0465:250416001,0.582446957485078
A0466:250416002,0.626228426680276
A0468:250416003,0.585509077443005
A0470:250416004,0.6040156093432
A0471:250416005,0.602509444648447
A0473:250416006,0.642481935359395
A0474:250416007,0.610460376043268
A0475:250416008,0.627859067796083
A0476:250416009,0.604880720469525
A0477:250416010,0.61308371661698
A0481:250416011,0.588620987969354
A0483:250416012,0.604031168895832
A0484:250416013,0.657948130675347
A0485:250416014,0.588004829685137
A0486:250416015,0.614079527985411
A0487:250416016,0.618772289059145
A0488:250416017,0.643953869038357
A0490:250416018,0.674699545038681
A0493:250416019,0.579857847927156
A0494:250416020,0.627743927106608
A0495:250416021,0.594963061622052
A0496:250416022,0.592647800190449
A0500:250416023,0.624992998201316
A0503:250416024,0.608453193753773
A0505:250416025,0.611275696601171
A0506:250416026,0.590360545953583
A0508:250416027,0.624803171659208
A0511:250416028,0.588412489964089
A0512:250416029,0.586153242921959
A0513:250416030,0.651907912343704
A0516:250416031,0.638280856148824
A0517:250416032,0.657552918038501
A0518:250416033,0.605036315995843
A0520:250416034,0.590460127090426
A0524:250416035,0.599858096879998
A0525:250416036,0.588661442806196
A0528:250416037,0.611393949201173
A0529:250416038,0.569778369732313
A0530:250416039,0.565726662227008
A0531:250416040,0.692866878691504
A0532:250416041,0.642951833848873
A0533:250416042,0.57763905572187
A0534:250416043,0.634023762548779
A0535:250416044,0.592352168690446
A0536:250416045,0.586402195764067
A0537:250416046,0.626051047780274
A0538:250416047,0.642152072843602
A0539:250416048,0.590077362095685
A0541:250416049,0.644380200780467
A0544:250416050,0.537651005458291
A0546:250416051,0.603754208858987
A0547:250416052,0.531648130052965
A0548:250416053,0.631471995917173
A0550:250416054,0.628434771243457
A0551:250416055,0.62977911659084
A0552:250416056,0.627376721664499
A0553:250416057,0.64164171951728
A0555:250416089,0.461160244720644
A0556:250416090,0.429686381657155
A0557:250416091,0.449873345241578
A0560:250416092,0.446288424315224
A0561:250416093,0.463624877857512
A0564:250416094,0.425189670946581
A0566:250416095,0.451099437988959
A0569:250416096,0.498587192621038
A0571:250416097,0.506099344631643
A0572:250416098,0.427582730141343
A0573:250416099,0.458424875367983
A0574:250416100,0.481008010057695
A0575:250416101,0.483634462541933
A0576:250441879,0.429431204993994
A0577:250416102,0.450119186173159
A0580:250416103,0.508732020936934
A0584:250416104,0.449132710536307
A0585:250416105,0.474342297710256
A0586:250416106,0.476965638283968
A0588:250416107,0.44984533804684
A0594:250416108,0.498288449210508
A0596:250416109,0.511168646879065
A0597:250416110,0.439843657615156
A0599:250416111,0.539574166163574
A0601:250416112,0.482343019673498
A0602:250416113,0.447785253278398
A0603:250416114,0.489254572952518
A0605:250416116,0.541186135816223
A0606:250416117,0.476150317726065
A0609:250416118,0.497566485968395
A0610:250416119,0.513602160910669
A0615:250416120,0.532360757563499
A0621:250416121,0.466683885904912
A0624:250416122,0.506040218331642
A0627:250416124,0.49856852115788
A0629:250416125,0.502439737852657
A0631:250416126,0.470800943531272
A0632:250416127,0.489441287584099
A0633:250416128,0.423095355162348
A0634:250416129,0.537557648142501
A0636:250416130,0.490620701673585
A0640:250416131,0.487742184436713
A0642:250416132,0.681595538765069
A0643:250416133,0.505137764279001
A0644:250416134,0.52987122914242
A0646:250416135,0.550745924953166
A0647:250416136,0.565521276132269
A0650:250416137,0.542701636242555
A0651:250416138,0.441013735973063
A0655:250416139,0.526650401747649
A0656:250416140,0.532388764758236
A0658:250416141,0.543134191805717
A0661:250416142,0.483541105226143
A0663:250416143,0.525433644731847
A0666:250416144,0.535715397110902
A0668:250416145,0.545268962426792
A0669:250416146,0.492413162136762
A0673:250416147,0.4875399102525
A0674:250416148,0.509727832305366
A0675:250416149,0.551869324653178
A0677:250416150,0.559172978658518
A0678:250416151,0.510001680431684
A0680:250416152,0.497585157431554
A0684:250416153,0.466761683668071
A0687:250416154,0.510907246394852
A0689:250416155,0.509401081700099
A0691:250416156,0.496564450778911
A0692:250416157,0.551365195147909
A0694:250416158,0.493390302042036
A0696:250416159,0.514429929110678
A0697:250416160,0.500370317352635
A0698:250416161,0.439389318678309
A0699:250416162,0.463027391036453
A0700:250416163,0.508047400621137
A0701:250416164,0.502041413305285
A0702:250416165,0.522265719816024
A0703:250416166,0.464651808331207
A0704:250416167,0.551411873805804
A0705:250416168,0.513004674089611
A0706:250416169,0.524861053194999
A0707:250416170,0.533792236405619
A0708:250416171,0.512422746821183
A0710:250416172,0.505962420568484
A0712:250416173,0.50844572516851
A0713:250416174,0.55165460282686
A0724:250416175,0.531554772737174
A0727:250416176,0.543159087089928
A0728:250416177,0.485847030926167
A0738:250416178,0.503476004057931
A0740:250416179,0.480737273841903
A0741:250416180,0.574387109221836
A0743:250416181,0.528539331437142
A0744:250416182,0.548825876158409
A0752:250416183,0.479445830973468
A0756:250416184,0.523417126710773
A0757:250416216,0.583828645758777
A0762:250416217,0.572519962906027
A0767:250416218,0.599372638837888
A0768:250416219,0.619559602422311
A0771:250416220,0.629716878380313
A0772:250416221,0.613261095516982
A0774:250416222,0.638231065580402
A0775:250416223,0.608005078637979
A0776:250416224,0.634555899248785
A0777:250416225,0.581127507421907
A0778:250416226,0.58917801995357
A0783:250416227,0.577489684016605
A0784:250441880,0.442728398673081
A0785:250416228,0.602562347127395
A0786:250416229,0.576988666421863
A0787:250416230,0.61177982610644
A0788:250416231,0.566489080305963
A0790:250416232,0.486556546526174
A0792:250416233,0.580221941458739
A0793:250416234,0.567456884479657
A0796:250441881,0.457161439694286
A0798:250416235,0.603990714058989
A0799:250416236,0.607774797259029
A0801:250441882,0.465470240799637
A0802:250416237,0.56958543127968
A0803:250416238,0.616755771038071
A0812:250416239,0.611042303311695
A0815:250416240,0.541609355647806
A0818:250416241,0.59101093525359
A0819:250416242,0.588319132648298
A0820:250416243,0.644943456585736
A0821:250416244,0.585549532279848
A0822:250416245,0.598712913806302
A0824:250416246,0.58380063856404
A0825:250416247,0.595859291853641
A0828:250416256,0.594745227885208
A0829:250416257,0.585558868011427
A0830:250416259,0.614960198664368
A0832:250416260,0.591421707443068
A0834:250416261,0.587886577085136
A0835:250416262,0.601277128080013
A0836:250416263,0.629433694522415
A0837:250416248,0.532267400247708
A0838:250416249,0.570553235453374
A0839:250416251,0.586115899995643
A0840:250416252,0.620253558469687
A0842:250416253,0.614415614322257
A0843:250416254,0.596964020090494
A0850:250416255,0.586582686574596
A0853:250416264,0.560237252058529
A0856:250416265,0.542882127053083
A0859:250416266,0.567606256184922
A0861:250416267,0.609349423985362
A0862:250416268,0.570683935695481
A0863:250416269,0.598451513322089
A0864:250416270,0.625400658480267
A0865:250416271,0.633628549911933
A0866:250416272,0.622836444206556
A0867:250416273,0.573076994890243
A0870:250416274,0.553904514137409
A0871:250416275,0.579341270779783
A0872:250416276,0.579450187648205
A0873:250416277,0.575793692779745
A0874:250416278,0.584905366800894
A0876:250416279,0.584902254890367
A0877:250416280,0.5805362444219
A0880:250416281,0.633883726575094
A0882:250416282,0.570817747848114
A0883:250416283,0.618638476906512
A0884:250416284,0.625381987017109
A0885:250416285,0.634842195017209
A0886:250416286,0.634471877664573
A0887:250416287,0.611328599080119
A0890:250416288,0.542377997547814
A0891:250416289,0.579453299558731
A0892:250416290,0.591966291785179
A0894:250416291,0.639080617154096
A0895:250416292,0.577150485769233
A0896:250416293,0.587338880832498
A0897:250416294,0.633364037517193
A0898:250416295,0.62873040274346
A0899:250416296,0.595616562832585
A0900:250416297,0.652604980301606
A0902:250416298,0.606803881174808
A0903:250416299,0.61135349436433
A0904:250416300,0.614057744611727
A0905:250416301,0.619973486522316
A0907:250416302,0.616005800601221
A0908:250416303,0.570338513627056
A0909:250416304,0.587018354048284
A0910:250416305,0.581273767216645
A0911:250416306,0.571763768648124
A0912:250416307,0.623219209201297
A0913:250416308,0.677783448370292
A0918:250416309,0.607846371201135
A0920:250416310,0.588789031137777
A0921:250416311,0.607074617390601
A0924:250416343,0.543887274153094
A0925:250416344,0.530636759131901
A0926:250416345,0.547257473253129
A0928:250416346,0.559611758042733
A0930:250441884,0.435449639951952
