file,err1,err2,size
largedata/sim1//res_100_srate1.csv,0,0,100
largedata/sim1//res_10_srate1.csv,0.2809,0.178,10
largedata/sim1//res_11_srate1.csv,0.2501,0.1547,11
largedata/sim1//res_12_srate1.csv,0.205,0.1338,12
largedata/sim1//res_13_srate1.csv,0.1715,0.1079,13
largedata/sim1//res_14_srate1.csv,0.1372,0.0901,14
largedata/sim1//res_15_srate1.csv,0.125,0.085,15
largedata/sim1//res_16_srate1.csv,0.1018,0.0693,16
largedata/sim1//res_17_srate1.csv,0.0858,0.0566,17
largedata/sim1//res_18_srate1.csv,0.0732,0.0517,18
largedata/sim1//res_19_srate1.csv,0.0681,0.0451,19
largedata/sim1//res_20_srate1.csv,0.0575,0.0373,20
largedata/sim1//res_21_srate1.csv,0.0533,0.0351,21
largedata/sim1//res_22_srate1.csv,0.0381,0.024,22
largedata/sim1//res_23_srate1.csv,0.0406,0.0275,23
largedata/sim1//res_24_srate1.csv,0.0312,0.0207,24
largedata/sim1//res_25_srate1.csv,0.0259,0.0179,25
largedata/sim1//res_26_srate1.csv,0.0233,0.0155,26
largedata/sim1//res_27_srate1.csv,0.0196,0.0121,27
largedata/sim1//res_28_srate1.csv,0.0201,0.0129,28
largedata/sim1//res_29_srate1.csv,0.0167,0.0112,29
largedata/sim1//res_30_srate1.csv,0.0151,0.009,30
largedata/sim1//res_31_srate1.csv,0.0117,0.0071,31
largedata/sim1//res_32_srate1.csv,0.0099,0.0062,32
largedata/sim1//res_33_srate1.csv,0.0077,0.0044,33
largedata/sim1//res_34_srate1.csv,0.0057,0.0035,34
largedata/sim1//res_35_srate1.csv,0.0067,0.0045,35
largedata/sim1//res_36_srate1.csv,0.0073,0.0049,36
largedata/sim1//res_37_srate1.csv,0.0049,0.0031,37
largedata/sim1//res_38_srate1.csv,0.0051,0.0028,38
largedata/sim1//res_39_srate1.csv,0.0031,0.002,39
largedata/sim1//res_40_srate1.csv,0.0022,0.0015,40
largedata/sim1//res_41_srate1.csv,0.0019,9e-04,41
largedata/sim1//res_42_srate1.csv,0.0029,0.0022,42
largedata/sim1//res_43_srate1.csv,0.0021,9e-04,43
largedata/sim1//res_44_srate1.csv,0.002,0.0011,44
largedata/sim1//res_45_srate1.csv,0.0014,8e-04,45
largedata/sim1//res_46_srate1.csv,0.0015,9e-04,46
largedata/sim1//res_47_srate1.csv,0.0014,9e-04,47
largedata/sim1//res_48_srate1.csv,0.0013,0.001,48
largedata/sim1//res_49_srate1.csv,0.0011,0.001,49
largedata/sim1//res_50_srate1.csv,7e-04,5e-04,50
largedata/sim1//res_51_srate1.csv,4e-04,3e-04,51
largedata/sim1//res_52_srate1.csv,7e-04,5e-04,52
largedata/sim1//res_53_srate1.csv,2e-04,2e-04,53
largedata/sim1//res_54_srate1.csv,4e-04,3e-04,54
largedata/sim1//res_55_srate1.csv,3e-04,1e-04,55
largedata/sim1//res_56_srate1.csv,5e-04,1e-04,56
largedata/sim1//res_57_srate1.csv,4e-04,2e-04,57
largedata/sim1//res_58_srate1.csv,3e-04,2e-04,58
largedata/sim1//res_59_srate1.csv,4e-04,3e-04,59
largedata/sim1//res_60_srate1.csv,2e-04,1e-04,60
largedata/sim1//res_61_srate1.csv,1e-04,0,61
largedata/sim1//res_62_srate1.csv,2e-04,0,62
largedata/sim1//res_63_srate1.csv,4e-04,2e-04,63
largedata/sim1//res_64_srate1.csv,2e-04,1e-04,64
largedata/sim1//res_65_srate1.csv,1e-04,1e-04,65
largedata/sim1//res_66_srate1.csv,0,0,66
largedata/sim1//res_67_srate1.csv,1e-04,0,67
largedata/sim1//res_68_srate1.csv,1e-04,1e-04,68
largedata/sim1//res_69_srate1.csv,0,0,69
largedata/sim1//res_70_srate1.csv,0,0,70
largedata/sim1//res_71_srate1.csv,0,0,71
largedata/sim1//res_72_srate1.csv,1e-04,1e-04,72
largedata/sim1//res_73_srate1.csv,0,0,73
largedata/sim1//res_74_srate1.csv,0,0,74
largedata/sim1//res_75_srate1.csv,0,0,75
largedata/sim1//res_76_srate1.csv,0,0,76
largedata/sim1//res_77_srate1.csv,0,0,77
largedata/sim1//res_78_srate1.csv,1e-04,1e-04,78
largedata/sim1//res_79_srate1.csv,1e-04,1e-04,79
largedata/sim1//res_80_srate1.csv,0,0,80
largedata/sim1//res_81_srate1.csv,0,0,81
largedata/sim1//res_82_srate1.csv,0,0,82
largedata/sim1//res_83_srate1.csv,0,0,83
largedata/sim1//res_84_srate1.csv,0,0,84
largedata/sim1//res_85_srate1.csv,0,0,85
largedata/sim1//res_86_srate1.csv,0,0,86
largedata/sim1//res_87_srate1.csv,0,0,87
largedata/sim1//res_88_srate1.csv,0,0,88
largedata/sim1//res_89_srate1.csv,0,0,89
largedata/sim1//res_90_srate1.csv,0,0,90
largedata/sim1//res_91_srate1.csv,0,0,91
largedata/sim1//res_92_srate1.csv,0,0,92
largedata/sim1//res_93_srate1.csv,0,0,93
largedata/sim1//res_94_srate1.csv,0,0,94
largedata/sim1//res_95_srate1.csv,0,0,95
largedata/sim1//res_96_srate1.csv,0,0,96
largedata/sim1//res_97_srate1.csv,0,0,97
largedata/sim1//res_98_srate1.csv,0,0,98
largedata/sim1//res_99_srate1.csv,0,0,99
