file,het,err,chunk,rate,type,size
largedata/sim2//size2_rate0.5_1k.csv,184,53,14,0.28804347826087,rate0.5,2
largedata/sim2//size2_rate1_1k.csv,184,67,13,0.364130434782609,rate1,2
largedata/sim2//size30_rate0_1k.csv,184,63,2,0.342391304347826,rate0,30
largedata/sim2//size30_rate0.5_1k.csv,184,36,2,0.195652173913043,rate0.5,30
largedata/sim2//size30_rate1_1k.csv,184,0,2,0,rate1,30
largedata/sim2//size31_rate0_1k.csv,184,51,1,0.277173913043478,rate0,31
largedata/sim2//size31_rate0.5_1k.csv,184,25,3,0.135869565217391,rate0.5,31
largedata/sim2//size31_rate1_1k.csv,184,0,1,0,rate1,31
largedata/sim2//size32_rate0_1k.csv,184,84,1,0.456521739130435,rate0,32
largedata/sim2//size32_rate0.5_1k.csv,184,84,1,0.456521739130435,rate0.5,32
largedata/sim2//size32_rate1_1k.csv,184,1,3,0.00543478260869565,rate1,32
largedata/sim2//size33_rate0_1k.csv,184,83,1,0.451086956521739,rate0,33
largedata/sim2//size33_rate0.5_1k.csv,184,80,1,0.434782608695652,rate0.5,33
largedata/sim2//size33_rate1_1k.csv,184,1,2,0.00543478260869565,rate1,33
largedata/sim2//size34_rate0_1k.csv,184,90,1,0.489130434782609,rate0,34
largedata/sim2//size34_rate0.5_1k.csv,184,70,1,0.380434782608696,rate0.5,34
largedata/sim2//size34_rate1_1k.csv,184,70,3,0.380434782608696,rate1,34
largedata/sim2//size35_rate0_1k.csv,184,31,2,0.168478260869565,rate0,35
largedata/sim2//size35_rate0.5_1k.csv,184,31,1,0.168478260869565,rate0.5,35
largedata/sim2//size35_rate1_1k.csv,184,0,1,0,rate1,35
largedata/sim2//size36_rate0_1k.csv,184,60,1,0.326086956521739,rate0,36
largedata/sim2//size36_rate0.5_1k.csv,184,83,1,0.451086956521739,rate0.5,36
largedata/sim2//size36_rate1_1k.csv,184,0,1,0,rate1,36
largedata/sim2//size37_rate0_1k.csv,184,51,2,0.277173913043478,rate0,37
largedata/sim2//size37_rate0.5_1k.csv,184,10,2,0.0543478260869565,rate0.5,37
largedata/sim2//size37_rate1_1k.csv,184,0,1,0,rate1,37
largedata/sim2//size38_rate0_1k.csv,184,74,1,0.402173913043478,rate0,38
largedata/sim2//size38_rate0.5_1k.csv,184,44,1,0.239130434782609,rate0.5,38
largedata/sim2//size38_rate1_1k.csv,184,0,2,0,rate1,38
largedata/sim2//size39_rate0_1k.csv,184,90,1,0.489130434782609,rate0,39
largedata/sim2//size39_rate0.5_1k.csv,184,70,1,0.380434782608696,rate0.5,39
largedata/sim2//size39_rate1_1k.csv,184,0,2,0,rate1,39
largedata/sim2//size3_rate0_1k.csv,184,61,8,0.331521739130435,rate0,3
largedata/sim2//size3_rate0.5_1k.csv,184,60,11,0.326086956521739,rate0.5,3
largedata/sim2//size3_rate1_1k.csv,184,51,9,0.277173913043478,rate1,3
largedata/sim2//size40_rate0_1k.csv,184,24,1,0.130434782608696,rate0,40
largedata/sim2//size40_rate0.5_1k.csv,184,72,1,0.391304347826087,rate0.5,40
largedata/sim2//size40_rate1_1k.csv,184,0,2,0,rate1,40
largedata/sim2//size41_rate0_1k.csv,184,31,2,0.168478260869565,rate0,41
largedata/sim2//size41_rate0.5_1k.csv,184,83,1,0.451086956521739,rate0.5,41
largedata/sim2//size41_rate1_1k.csv,184,0,1,0,rate1,41
largedata/sim2//size42_rate0_1k.csv,184,40,1,0.217391304347826,rate0,42
largedata/sim2//size42_rate0.5_1k.csv,184,71,1,0.385869565217391,rate0.5,42
largedata/sim2//size42_rate1_1k.csv,184,0,1,0,rate1,42
largedata/sim2//size43_rate0_1k.csv,184,90,1,0.489130434782609,rate0,43
largedata/sim2//size43_rate0.5_1k.csv,184,24,1,0.130434782608696,rate0.5,43
largedata/sim2//size43_rate1_1k.csv,184,0,1,0,rate1,43
largedata/sim2//size44_rate0_1k.csv,184,81,1,0.440217391304348,rate0,44
largedata/sim2//size44_rate0.5_1k.csv,184,0,1,0,rate0.5,44
largedata/sim2//size44_rate1_1k.csv,184,0,1,0,rate1,44
largedata/sim2//size45_rate0_1k.csv,184,48,1,0.260869565217391,rate0,45
largedata/sim2//size45_rate0.5_1k.csv,184,79,1,0.429347826086957,rate0.5,45
largedata/sim2//size45_rate1_1k.csv,184,20,1,0.108695652173913,rate1,45
largedata/sim2//size46_rate0_1k.csv,184,0,2,0,rate0,46
largedata/sim2//size46_rate0.5_1k.csv,184,81,1,0.440217391304348,rate0.5,46
largedata/sim2//size46_rate1_1k.csv,184,0,1,0,rate1,46
largedata/sim2//size47_rate0_1k.csv,184,10,1,0.0543478260869565,rate0,47
largedata/sim2//size47_rate0.5_1k.csv,184,70,1,0.380434782608696,rate0.5,47
largedata/sim2//size47_rate1_1k.csv,184,0,2,0,rate1,47
largedata/sim2//size48_rate0_1k.csv,184,64,1,0.347826086956522,rate0,48
largedata/sim2//size48_rate0.5_1k.csv,184,30,1,0.16304347826087,rate0.5,48
largedata/sim2//size48_rate1_1k.csv,184,21,2,0.114130434782609,rate1,48
largedata/sim2//size49_rate0_1k.csv,184,70,1,0.380434782608696,rate0,49
largedata/sim2//size49_rate0.5_1k.csv,184,90,1,0.489130434782609,rate0.5,49
largedata/sim2//size49_rate1_1k.csv,184,0,1,0,rate1,49
largedata/sim2//size4_rate0_1k.csv,184,70,6,0.380434782608696,rate0,4
largedata/sim2//size4_rate0.5_1k.csv,184,48,10,0.260869565217391,rate0.5,4
largedata/sim2//size4_rate1_1k.csv,184,28,14,0.152173913043478,rate1,4
largedata/sim2//size50_rate0_1k.csv,184,11,3,0.0597826086956522,rate0,50
largedata/sim2//size50_rate0.5_1k.csv,184,69,1,0.375,rate0.5,50
largedata/sim2//size50_rate1_1k.csv,184,0,2,0,rate1,50
largedata/sim2//size51_rate0_1k.csv,184,85,1,0.46195652173913,rate0,51
largedata/sim2//size51_rate0.5_1k.csv,184,64,1,0.347826086956522,rate0.5,51
largedata/sim2//size51_rate1_1k.csv,184,0,1,0,rate1,51
largedata/sim2//size52_rate0_1k.csv,184,50,1,0.271739130434783,rate0,52
