pid,tot,miss,toter,er01,er02,er10,er12,er20,er21,er0,er1,er2
A0003:250415708,23281,0,0.150551952235729,0,0.0356078171579993,0.555501460564752,0.444498539435248,0.258914230645679,0,0.0356078171579993,1,0.258914230645679
A0004:250415709,16000,0,0.0223125,0.0101194426011944,0.0006635700066357,0.0274779195289499,0.0333660451422964,0.00367261280167891,0.0503672612801679,0.0107830126078301,0.0608439646712463,0.0540398740818468
A0008:250415711,15846,154,0.0766123942950902,0.0487913259864913,0.00133309633842872,0.0669816564758199,0.0241801000555864,0.0100401606425703,0.313253012048193,0.05012442232492,0.0911617565314063,0.323293172690763
A0013:250415712,16000,0,0.0250625,0.00995649263721553,0.000167336010709505,0.0407523510971787,0.0362740707568294,0.00330578512396694,0.056198347107438,0.010123828647925,0.0770264218540081,0.059504132231405
A0014:250415713,16000,0,0.0200625,0.00604585427135678,0.00109924623115578,0.0625,0.086734693877551,0.00725806451612903,0.0383064516129032,0.00714510050251256,0.149234693877551,0.0455645161290323
A0015:250415714,15883,117,0.0916703393565447,0.0598244184994117,0.00108607113765952,0.0684338652961861,0.036516094130376,0.0211081794195251,0.326297273526825,0.0609104896370712,0.104949959426562,0.34740545294635
A0017:250415715,15921,79,0.10288298473714,0.0714846818538885,0.00209478921183556,0.0732502965599051,0.0435943060498221,0.0183150183150183,0.348901098901099,0.073579471065724,0.116844602609727,0.367216117216117
A0020:250415716,15916,84,0.0774063835134456,0.0452912833990364,0.000525624178712221,0.0651658767772512,0.0361374407582938,0.016,0.310222222222222,0.0458169075777486,0.101303317535545,0.326222222222222
A0021:250415717,16000,0,0.0265,0.0105639660622193,0.000582265845949093,0.0389004149377593,0.0461618257261411,0.00634146341463415,0.0551219512195122,0.0111462319081684,0.0850622406639004,0.0614634146341463
A0022:250415719,15901,99,0.0901830073580278,0.0521249545949873,0.000544860152560843,0.0838675213675214,0.0256410256410256,0.0235807860262009,0.364192139737991,0.0526698147475481,0.109508547008547,0.387772925764192
A0024:250415720,16000,0,0.041625,0.00784903139612558,0.00242150968603874,0.111431316042267,0.095581171950048,0.0113285272914521,0.0463439752832132,0.0102705410821643,0.207012487992315,0.0576725025746653
A0027:250415721,15750,250,0.114349206349206,0.0691903640644811,0.00371309545372215,0.114835164835165,0.0554945054945055,0.0243445692883895,0.327715355805243,0.0729034595182032,0.17032967032967,0.352059925093633
A0028:250415722,15852,148,0.107431238960384,0.0747420367877972,0.00197397936294302,0.0915104740904079,0.0366593164277839,0.0139017608897127,0.341056533827618,0.0767160161507402,0.128169790518192,0.354958294717331
A0030:250415723,16000,0,0.0289375,0.00999837424808974,0.00105673874166802,0.0604703247480403,0.0576707726763718,0.00836820083682008,0.0523012552301255,0.0110551129897578,0.118141097424412,0.0606694560669456
A0031:250415724,16000,0,0.0275625,0.0109917561828629,0.00116579232242485,0.0489651691065119,0.0424028268551237,0.00199004975124378,0.054726368159204,0.0121575485052877,0.0913679959616355,0.0567164179104478
A0034:250415725,15939,61,0.0788004266265136,0.0495226197912019,0.00124921923797626,0.063073075854404,0.0219505418171714,0.0132391879964696,0.323036187113857,0.0507718390291782,0.0850236176715754,0.336275375110327
A0035:250415726,15903,97,0.0750172923347796,0.0483100495718792,0.000630914826498423,0.058695652173913,0.021195652173913,0.0159574468085106,0.299645390070922,0.0489409643983776,0.0798913043478261,0.315602836879433
A0036:250415727,15862,138,0.0905938721472702,0.0556254493170381,0.00251617541337168,0.0838744588744589,0.033008658008658,0.0240847784200385,0.320809248554913,0.0581416247304098,0.116883116883117,0.344894026974952
A0038:250415728,15917,83,0.0869510586165735,0.0534860647605304,0.000721565797781185,0.0841047341973023,0.0280349113991008,0.0247855100095329,0.317445185891325,0.0542076305583115,0.112139645596403,0.342230695900858
A0039:250415729,15946,54,0.0977047535432083,0.070997515086972,0.00133120340788072,0.0713489409141583,0.0309364548494983,0.026605504587156,0.318348623853211,0.0723287184948527,0.102285395763657,0.344954128440367
A0042:250415730,15911,89,0.0758594682923763,0.0471386483349701,0.000714221944469244,0.0667225013958682,0.0223338916806253,0.0168439716312057,0.295212765957447,0.0478528702794393,0.0890563930764936,0.312056737588652
A0044:250415731,15876,124,0.0808138070042832,0.0525268963023235,0.0012657083446343,0.0686170212765957,0.0226063829787234,0.0113744075829384,0.31563981042654,0.0537926046469578,0.0912234042553191,0.327014218009479
A0045:250415732,16000,0,0.0234375,0.0105010749131801,0.000496113775425831,0.0284697508896797,0.0310116929334011,0.00412583806085611,0.0603403816400206,0.0109971886886059,0.0594814438230808,0.0644662197008767
A0048:250415733,15986,14,0.0812586012761166,0.0518203560988573,0.000265745415891576,0.070774354704413,0.0244240910352484,0.0182815356489945,0.318098720292505,0.0520861015147489,0.0951984457396614,0.336380255941499
A0049:250415734,16000,0,0.03675,0.0122837803960892,0.000584941923623297,0.076783280327124,0.0713312130849614,0.00600436681222707,0.0529475982532751,0.0128687223197125,0.148114493412085,0.0589519650655022
A0051:250415735,10411,0,0.0374603784458746,0.00761808024377857,0.00228542407313357,0.104149026248942,0.0914479254868755,0.0199409158050222,0.0398818316100443,0.00990350431691214,0.195596951735817,0.0598227474150665
A0052:250415736,16000,0,0.0400625,0.00711096411443691,0.00173639821399041,0.106918238993711,0.0953072085147557,0.0163132137030995,0.0467645459488853,0.00884736232842732,0.202225447508466,0.0630777596519848
A0060:250441870,16000,0,0.023,0.00776447751536719,0.00145583953413135,0.0503848845346396,0.0622813156053184,0.00362483008608971,0.0385138196647032,0.00922031704949854,0.112666200139958,0.0421386497507929
A0061:250415737,15985,15,0.0876446668751955,0.0544392316544215,0.00123926706205187,0.071694866647548,0.0232291367938056,0.0108243130724396,0.356369691923397,0.0556784987164734,0.0949240034413536,0.367194004995837
A0064:250415738,15809,191,0.0754633436650009,0.0494942196531792,0.000812861271676301,0.0568461328231757,0.0259633779721235,0.00742115027829314,0.301484230055659,0.0503070809248555,0.0828095107952993,0.308905380333952
A0066:250415739,15917,83,0.0785323867562983,0.053310786756853,0.000622997508009968,0.055386319579064,0.0177236222653005,0.0158878504672897,0.339252336448598,0.0539337842648629,0.0731099418443645,0.355140186915888
A0072:250415740,15906,94,0.0775179177668804,0.0528552456839309,0.000531208499335989,0.0552165068294101,0.014821272885789,0.0188034188034188,0.313675213675214,0.0533864541832669,0.0700377797151991,0.332478632478632
A0073:250415741,16000,0,0.033375,0.00888516345347863,0.00209555741827326,0.0634770251065846,0.0672666982472762,0.0071465033180194,0.0576824910668709,0.0109807208717519,0.130743723353861,0.0648289943848902
A0078:250415742,15933,67,0.0745622293353417,0.0454626493136031,0.000802282046710644,0.0585135884636717,0.0235718247365502,0.0153291253381425,0.321009918845807,0.0462649313603138,0.0820854132002218,0.336339044183949
A0081:250415743,15933,67,0.0749388062511768,0.0493772241992883,0.000800711743772242,0.0586001085187195,0.0189907759088443,0.0148957298907646,0.326713008937438,0.0501779359430605,0.0775908844275638,0.341608738828203
